,Nearest_Atom,material_id_a,adsorbate_type_a,material_id_b,adsorbate_type_b,similarity,delta_G_OCHO,delta_G_COOH,flag_OCHO_vs_COOH,x,pH=1,pH=7,pH=14
0,Bi,CONTCAR-26_Sn_52-3_Bi_60,OCHO,CONTCAR-18_Bi_60,COOH,0.996630362,0.60482,0.77283,1,0.60482,-1.898157519,-2.10832851,-4.438440031
1,Bi,CONTCAR-30_Bi_56-1_Bi_60,OCHO,CONTCAR-18_Bi_60,COOH,1,0.38272,0.77283,1,0.38272,-1.47238041,-1.667191378,-2.027449351
2,Co,CONTCAR-13_Co_22-3_Co_24,OCHO,CONTCAR-16_Co_24,COOH,0.970598826,-0.90972,-0.69288,1,-0.90972,-8.399455353,-6.416281208,-2.970275108
3,Co,CONTCAR-14_Co_24-2_Sn_52,OCHO,CONTCAR-16_Co_24,COOH,0.971709125,-0.85359,-0.69288,1,-0.85359,-7.336270984,-5.353097117,-2.205820166
4,La,CONTCAR-10_La_11-6_Bi_59,OCHO,CONTCAR-17_Bi_59,COOH,0.911687471,-1.04994,0.29181,1,-1.04994,-11.05542744,-9.072253259,-5.626119874
5,La,CONTCAR-12_La_13-4_Sn_47,OCHO,CONTCAR-25_Bi_67,COOH,0.960495755,-0.70254,0.90117,1,-0.70254,-4.475165528,-2.49240036,-1.902022747
6,La,CONTCAR-1_La_0-3_La_4,OCHO,CONTCAR-1_La_0,COOH,0.926069256,-1.24889,0.18662,1,-1.24889,-14.82383173,-12.84065754,-9.394523978
7,La,CONTCAR-1_La_0-4_Sn_45,OCHO,CONTCAR-1_La_0,COOH,0.912642162,-1.28492,0.18662,1,-1.28492,-15.50629269,-13.52311849,-10.07698493
8,La,CONTCAR-2_La_1-3_Sn_50,OCHO,CONTCAR-8_Sn_50,COOH,0.948703476,-0.80295,0.15713,1,-0.80295,-6.377075274,-4.393904375,-2.103586783
9,La,CONTCAR-31_Bi_57-1_Bi_59,OCHO,CONTCAR-15_Bi_57,COOH,0.935656442,-0.66484,0.56633,1,-0.66484,-3.761086018,-2.192049218,-1.827039975
10,La,CONTCAR-31_Bi_57-2_Bi_66,OCHO,CONTCAR-15_Bi_57,COOH,0.903103092,-0.78515,0.56633,1,-0.78515,-6.039917248,-4.056750644,-2.067719729
11,La,CONTCAR-6_La_5-5_Bi_66,OCHO,CONTCAR-15_Bi_57,COOH,0.903103092,-0.78095,0.56633,1,-0.78095,-5.960363113,-3.977198406,-2.059264116
12,Sn,CONTCAR-18_Sn_41-1_Bi_56,OCHO,CONTCAR-2_Sn_41,COOH,0.979072946,0.19091,0.54228,1,0.19091,-1.2038307,-1.329274705,-1.648230823
13,Sn,CONTCAR-19_Sn_43-2_Sn_53,OCHO,CONTCAR-11_Sn_53,COOH,1,-0.06531,0.53773,1,-0.06531,-1.274227514,-1.176510254,-1.232949397
14,Sn,CONTCAR-24_Sn_50-1_Sn_51,OCHO,CONTCAR-9_Sn_51,COOH,0.983958828,0.22915,0.83349,1,0.22915,-1.241654973,-1.389045662,-1.72223706
15,Sn,CONTCAR-25_Sn_51-1_Sn_53,OCHO,CONTCAR-11_Sn_53,COOH,0.997428262,0.01903,0.53773,1,0.01903,-1.188944599,-1.165638345,-1.344369697
16,Sn,CONTCAR-25_Sn_51-2_Bi_66,OCHO,CONTCAR-9_Sn_51,COOH,0.983958828,0.22923,0.83349,1,0.22923,-1.241742767,-1.389175296,-1.722392903
17,Sn,CONTCAR-27_Sn_53-1_Bi_63,OCHO,CONTCAR-11_Sn_53,COOH,0.997428262,-0.04406,0.53773,1,-0.04406,-1.248281523,-1.167702475,-1.257361356
