,elem,material_id_a,adsorbate_type_a,material_id_b,adsorbate_type_b,similarity,delta_G_OCHO,delta_G_COOH,selectivity_flag,x,pH=1,pH=7,pH=14
0,Bi,CONTCAR-6_Bi_47-1_Bi_65,OCHO,CONTCAR-2_Bi_9,COOH,0.911622169,0.2704,1.17509,1,0.2704,-1.293214355,-1.45900395,-1.803255525
1,Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-7_Bi_16,COOH,0.927986395,0.25055,1.16167,1,0.25055,-1.267036994,-1.42467549,-1.764129071
2,Bi,CONTCAR-9_Bi_9-1_Bi_54,OCHO,CONTCAR-2_Bi_9,COOH,0.949576427,0.40795,1.17509,1,0.40795,-1.517769714,-1.716128214,-2.078230708
3,Co,CONTCAR-1_Co_60-1_Co_61,OCHO,CONTCAR-4_Co_61,COOH,0.903185548,-4.29906,-2.17048,1,-4.29906,,-70.61534318,-67.16920961
4,Co,CONTCAR-8_Co_1-1_Co_67,OCHO,CONTCAR-3_Co_1,COOH,0.91545365,-4.70417,-4.17938,1,-4.70417,,-78.28871971,-74.84258614
5,La,CONTCAR-4_La_56-1_La_57,OCHO,CONTCAR-10_La_56,COOH,0.978670547,-9.37082,-7.70791,1,-9.37082,-85.87534723,,
6,La,CONTCAR-7_La_36-1_La_58,OCHO,CONTCAR-7_La_16,COOH,0.900830581,-9.86579,-6.60843,1,-9.86579,-85.87534723,,
7,La,CONTCAR-8_La_16-1_La_58,OCHO,CONTCAR-7_La_16,COOH,0.939898798,-9.14436,-6.60843,1,-9.14436,-85.87534723,,
8,Ni,CONTCAR-1_Ni_53-1_Ni_61,OCHO,CONTCAR-1_Ni_53,COOH,0.969648101,-5.26463,-4.07474,1,-5.26463,-85.87534723,,
9,Ni,CONTCAR-1_Ni_53-1_Ni_61,OCHO,CONTCAR-4_Ni_61,COOH,0.977834716,-5.26463,-4.59082,1,-5.26463,-85.87534723,,
10,Ni,CONTCAR-9_Ni_9-1_Ni_18,OCHO,CONTCAR-2_Ni_9,COOH,0.958975555,-5.25633,-3.4671,1,-5.25633,-85.87534723,,
11,Ni,CONTCAR-9_Ni_9-1_Ni_18,OCHO,CONTCAR-6_Ni_18,COOH,0.906711175,-5.25633,-4.80144,1,-5.25633,-85.87534723,,
12,Sn,CONTCAR-4_Sn_10-1_Sn_12,OCHO,CONTCAR-8_Sn_10,COOH,0.976006925,0.30933,0.96792,1,0.30933,-1.350074124,-1.528877111,-1.880509918
13,Sn,CONTCAR-9_Sn_16-1_Sn_58,OCHO,CONTCAR-7_Sn_16,COOH,0.971767296,0.30982,1.09075,1,0.30982,-1.350829174,-1.529774243,-1.881485835
