G,pH=1,pH=7,pH=14
-5,-85.87534723,,
-4.983333333,-85.55965617,-83.57648198,
-4.966666667,,-83.26079091,-79.81465734
-4.95,-84.92827403,-82.94509984,-79.49896627
-4.933333333,-84.61258296,-82.62940877,-79.1832752
-4.916666667,-84.29689189,-82.3137177,-78.86758413
-4.9,-83.98120082,,-78.55189306
-4.883333333,,-81.68233556,-78.236202
-4.866666667,-83.34981868,,-77.92051093
-4.85,,,-77.60481986
-4.833333333,,,-77.28912879
-4.816666667,,-80.41957129,-76.97343772
-4.8,,-80.10388022,-76.65774665
-4.783333333,,-79.78818915,-76.34205558
-4.766666667,,-79.47249808,-76.02636451
-4.75,,-79.15680701,-75.71067345
-4.733333333,-80.82429013,-78.84111594,-75.39498238
-4.716666667,,-78.52542488,-75.07929131
-4.7,-80.192908,-78.20973381,-74.76360024
-4.683333333,-79.87721693,-77.89404274,-74.44790917
-4.666666667,-79.56152586,-77.57835167,-74.1322181
-4.65,-79.24583479,-77.2626606,-73.81652703
-4.633333333,-78.93014372,-76.94696953,-73.50083596
-4.616666667,-78.61445265,-76.63127846,-73.18514489
-4.6,-78.29876158,-76.31558739,-72.86945383
-4.583333333,-77.98307051,-75.99989632,-72.55376276
-4.566666667,-77.66737945,-75.68420526,-72.23807169
-4.55,-77.35168838,-75.36851419,
-4.533333333,-77.03599731,-75.05282312,-71.60668955
-4.516666667,-76.72030624,-74.73713205,-71.29099848
-4.5,-76.40461517,-74.42144098,-70.97530741
-4.483333333,-76.0889241,-74.10574991,-70.65961634
-4.466666667,-75.77323303,-73.79005884,
-4.45,-75.45754196,-73.47436777,
-4.433333333,-75.1418509,-73.15867671,-69.71254314
-4.416666667,-74.82615983,,-69.39685207
-4.4,-74.51046876,,
-4.383333333,-74.19477769,,
-4.366666667,-73.87908662,-71.89591243,-68.44977886
-4.35,-73.56339555,-71.58022136,
-4.333333333,-73.24770448,,
-4.316666667,-72.93201341,-70.94883922,-67.50270566
-4.3,,-70.63314816,-67.18701459
-4.283333333,,-70.31745709,-66.87132352
-4.266666667,-71.98494021,-70.00176602,-66.55563245
-4.25,-71.66924914,-69.68607495,
-4.233333333,-71.35355807,-69.37038388,
-4.216666667,-71.037867,,
-4.2,,,-65.29286817
-4.183333333,,-68.42331067,
-4.166666667,-70.09079379,,
-4.15,-69.77510273,,-64.34579497
-4.133333333,-69.45941166,-67.47623747,-64.0301039
-4.116666667,,-67.1605464,-63.71441283
-4.1,,,-63.39872176
-4.083333333,,-66.52916426,-63.08303069
-4.066666667,,,-62.76733962
-4.05,,-65.89778212,
-4.033333333,,-65.58209105,-62.13595749
-4.016666667,,,
-4,,,-61.50457535
-3.983333333,-66.61819204,,-61.18888428
-3.966666667,,,-60.87319321
-3.95,,,-60.55750214
-3.933333333,-65.67111883,-63.68794464,-60.24181107
-3.916666667,,-63.37225357,-59.92612
-3.9,,-63.0565625,
-3.883333333,,,
-3.866666667,,-62.42518037,-58.9790468
-3.85,,-62.1094893,-58.66335573
-3.833333333,,-61.79379823,-58.34766466
-3.816666667,-63.46128135,-61.47810716,-58.03197359
-3.8,,-61.16241609,
-3.783333333,,,
-3.766666667,-62.51420814,,
-3.75,-62.19851707,,-56.76920932
-3.733333333,,-59.89965182,
-3.716666667,-61.56713494,-59.58396075,
-3.7,-61.25144387,,-55.82213611
-3.683333333,-60.9357528,-58.95257861,-55.50644504
-3.666666667,-60.62006173,-58.63688754,
-3.65,,,
-3.633333333,-59.98867959,,-54.55937183
-3.616666667,-59.67298852,,-54.24368077
-3.6,,-57.37412326,
-3.583333333,-59.04160639,-57.0584322,-53.61229863
-3.566666667,,,
-3.55,,-56.42705006,-52.98091649
-3.533333333,-58.09453318,,-52.66522542
-3.516666667,-57.77884211,,
-3.5,-57.46315104,,-52.03384328
-3.483333333,,-55.16428578,-51.71815222
-3.466666667,,,
-3.45,,,
-3.433333333,-56.20038677,,-50.77107901
-3.416666667,-55.8846957,,-50.45538794
-3.4,-55.56900463,-53.58583044,-50.13969687
-3.383333333,-55.25331356,-53.27013937,
-3.366666667,,-52.9544483,-49.50831473
-3.35,,-52.63875723,
-3.333333333,,,-48.8769326
-3.316666667,,-52.0073751,-48.56124153
-3.3,,-51.69168403,-48.24555046
-3.283333333,-53.35916715,-51.37599296,
-3.266666667,,,
-3.25,,,-47.29847725
-3.233333333,-52.41209394,,
-3.216666667,,-50.11322868,-46.66709511
-3.2,,-49.79753761,-46.35140405
-3.183333333,-51.46502073,-49.48184654,
-3.166666667,,,-45.72002191
-3.15,,-48.85046441,-45.40433084
-3.133333333,-50.51794753,,-45.08863977
-3.116666667,,,-44.7729487
-3.1,-49.88656539,,-44.45725763
-3.083333333,-49.57087432,-47.58770013,
-3.066666667,-49.25518325,,
-3.05,,,
-3.033333333,-48.62380111,-46.64062693,-43.19449336
-3.016666667,,-46.32493586,-42.87880229
-3,-47.99241898,-46.00924479,-42.56311122
-2.983333333,,,
-2.966666667,-47.36103684,,-41.93172908
-2.95,-47.04534577,-45.06217158,-41.61603801
-2.933333333,,,
-2.916666667,-46.41396363,-44.43078944,
-2.9,,,-40.66896481
-2.883333333,,,-40.35327374
-2.866666667,-45.46689043,-43.48371624,
-2.85,-45.15119936,,-39.7218916
-2.833333333,-44.83550829,-42.8523341,
-2.816666667,,,-39.09050946
-2.8,,,
-2.783333333,-43.88843508,-41.90526089,-38.45912733
-2.766666667,-43.57274401,-41.58956982,
-2.75,,,
-2.733333333,-42.94136188,-40.95818769,-37.51205412
-2.716666667,-42.62567081,-40.64249662,-37.19636305
-2.7,,,-36.88067198
-2.683333333,,-40.01111448,-36.56498091
-2.666666667,-41.6785976,,
-2.65,,,
-2.633333333,-41.04721546,-39.06404127,-35.61790771
-2.616666667,-40.73152439,,
-2.6,-40.41583333,,-34.98652557
-2.583333333,,,
-2.566666667,,-37.801277,-34.35514343
-2.55,,,-34.03945236
-2.533333333,-39.15306905,-37.16989486,
