material_id,adsorbate_type,Nearest_Atom,Nearest_Normalized_Distance,disorder,delta_Bi,delta_La,delta_Sn
CONTCAR-10_Bi_13,COOH,Bi,1.055934007,0.691699605,-1.060606061,1,0.014492754
CONTCAR-11_Bi_14,COOH,Bi,1.066182774,0.674571805,-0.545454545,1,-0.47826087
CONTCAR-12_Bi_16,COOH,Bi,1.04296135,0.667105841,-0.03030303,1,-0.971014493
CONTCAR-13_Bi_17,COOH,Bi,1.078268625,0.691699605,-1.060606061,1,0.014492754
CONTCAR-14_Bi_18,COOH,Bi,1.052587395,0.674571805,-0.545454545,-0.47826087,1
CONTCAR-15_Bi_19,COOH,Bi,1.057805472,0.859683794,-1.318181818,1,0.260869565
CONTCAR-16_Bi_20,COOH,Bi,1.053228864,0.674571805,-0.545454545,-0.47826087,1
CONTCAR-17_Bi_21,COOH,Bi,1.051683381,0.859683794,-1.318181818,0.260869565,1
CONTCAR-18_La_22,COOH,La,0.897222813,0.325867369,0.484848485,-0.47826087,0.014492754
CONTCAR-19_La_23,COOH,La,0.888174433,0.275889328,-0.236363636,0.408695652,-0.182608696
CONTCAR-1_Bi_0,COOH,Bi,1.053576886,0.667105841,-0.03030303,1,-0.971014493
CONTCAR-20_La_24,COOH,La,0.889887956,0.652173913,1,-0.47826087,-0.47826087
CONTCAR-21_La_25,COOH,La,0.880938306,0.521475626,0.381818182,0.408695652,-0.773913043
CONTCAR-22_La_28,COOH,La,0.895445358,0.674571805,-0.545454545,-0.47826087,1
CONTCAR-23_La_29,COOH,La,0.881984365,0.691699605,-1.060606061,0.014492754,1
CONTCAR-24_La_30,COOH,La,0.892977328,0.652173913,1,-0.773913043,-0.182608696
CONTCAR-25_La_31,COOH,La,0.909289644,0.667105841,-0.03030303,-0.971014493,1
CONTCAR-26_La_32,COOH,La,0.864330606,0.661835749,1,-0.971014493,0.014492754
CONTCAR-27_La_33,COOH,La,0.848481285,0.364201016,0.558441558,-0.267080745,-0.267080745
CONTCAR-28_La_34,COOH,La,0.869082279,0.389798607,-0.324675325,0.577639752,-0.267080745
CONTCAR-29_La_35,COOH,La,0.888432651,0.355731225,-0.545454545,0.507246377,0.014492754
CONTCAR-2_Bi_1,COOH,Bi,1.050700064,0.859683794,-1.318181818,1,0.260869565
CONTCAR-30_La_36,COOH,La,0.886002928,0.654369785,0.484848485,-0.971014493,0.507246377
CONTCAR-31_La_37,COOH,La,0.860051105,0.176218709,-0.159090909,-0.108695652,0.260869565
CONTCAR-32_La_38,COOH,La,0.886325577,0.652173913,1,-0.47826087,-0.47826087
CONTCAR-33_La_39,COOH,La,0.919064824,0.654369785,0.484848485,-0.971014493,0.507246377
CONTCAR-34_La_41,COOH,La,0.914500535,0.249011858,0.381818182,-0.182608696,-0.182608696
CONTCAR-35_La_42,COOH,La,0.900311606,0.322134387,0.227272727,-0.47826087,0.260869565
CONTCAR-36_La_43,COOH,La,0.890923801,0.148221344,0.227272727,-0.108695652,-0.108695652
CONTCAR-37_La_44,COOH,La,0.908440649,0.652173913,1,-0.182608696,-0.773913043
CONTCAR-38_Sn_47,COOH,Sn,1.058710016,0.322134387,0.227272727,-0.47826087,0.260869565
CONTCAR-39_Sn_48,COOH,Sn,1.056226988,0.667105841,-0.03030303,1,-0.971014493
CONTCAR-3_Bi_2,COOH,La,0.881713031,0.355731225,-0.545454545,0.260869565,0.260869565
CONTCAR-40_Sn_49,COOH,Sn,1.052124937,0.654369785,0.484848485,0.507246377,-0.971014493
CONTCAR-41_Sn_50,COOH,Sn,1.055418733,0.814888011,0.227272727,1,-1.217391304
CONTCAR-42_Sn_51,COOH,Sn,1.043554926,0.859683794,-1.318181818,1,0.260869565
CONTCAR-43_Sn_52,COOH,Sn,1.055692887,0.859683794,-1.318181818,1,0.260869565
CONTCAR-44_Sn_54,COOH,La,1.114602963,0.826086957,1,-1.217391304,0.260869565
CONTCAR-45_Sn_57,COOH,Sn,1.080225809,0.211744777,-0.324675325,0.155279503,0.155279503
CONTCAR-46_Sn_58,COOH,Sn,1.072808,0.661835749,1,0.014492754,-0.971014493
CONTCAR-47_Sn_59,COOH,Sn,1.110673878,0.652173913,1,-0.47826087,-0.47826087
CONTCAR-48_Sn_60,COOH,La,0.95352265,0.355731225,-0.545454545,0.260869565,0.260869565
CONTCAR-49_Sn_62,COOH,Sn,1.062173826,0.691699605,-1.060606061,1,0.014492754
CONTCAR-50_Sn_63,COOH,Sn,1.048853096,0.674571805,-0.545454545,1,-0.47826087
CONTCAR-51_Sn_64,COOH,Sn,1.046074332,0.667105841,-0.03030303,1,-0.971014493
CONTCAR-52_Sn_66,COOH,Sn,1.048020199,1.31884058,1,1,-1.956521739
CONTCAR-53_Sn_67,COOH,Sn,1.05979823,0.674571805,-0.545454545,1,-0.47826087
CONTCAR-5_Bi_5,COOH,La,0.87902456,0.275889328,-0.236363636,0.408695652,-0.182608696
CONTCAR-6_Bi_6,COOH,Bi,1.048330742,0.275889328,-0.236363636,0.408695652,-0.182608696
CONTCAR-7_Bi_7,COOH,Bi,1.109286327,0.355731225,-0.545454545,0.260869565,0.260869565
CONTCAR-8_Bi_9,COOH,La,1.017639824,0.338603426,-0.03030303,-0.47826087,0.507246377
CONTCAR-9_Bi_10,COOH,Bi,1.056058907,0.674571805,-0.545454545,-0.47826087,1
