material_id,adsorbate_type,Nearest_Atom,Nearest_Normalized_Distance,disorder,delta_Bi,delta_La,delta_Sn
CONTCAR-10_Sn_54,H,La,0.953034659,0.325867369,0.484848485,0.014492754,-0.47826087
CONTCAR-11_La_42,H,La,0.95545179,0.338603426,-0.03030303,-0.47826087,0.507246377
CONTCAR-12_Bi_6,H,Bi,1.016123301,0.179747788,0.116883117,-0.267080745,0.155279503
CONTCAR-13_Sn_47,H,Sn,1.051872177,0.322134387,0.227272727,-0.47826087,0.260869565
CONTCAR-14_La_34,H,La,0.933716557,0.499717674,-0.766233766,0.577639752,0.155279503
CONTCAR-15_Bi_2,H,La,0.98538015,0.461321287,0.116883117,-0.689440994,0.577639752
CONTCAR-16_Sn_64,H,Sn,1.034279133,0.322134387,0.227272727,0.260869565,-0.47826087
CONTCAR-17_Sn_51,H,Sn,1.036917485,0.557312253,-0.854545455,0.408695652,0.408695652
CONTCAR-18_Bi_18,H,La,1.027059985,0.338603426,-0.03030303,-0.47826087,0.507246377
CONTCAR-19_Sn_59,H,Sn,1.054533532,0.325867369,0.484848485,-0.47826087,0.014492754
CONTCAR-1_Sn_50,H,Sn,1.043285794,0.814888011,0.227272727,1,-1.217391304
CONTCAR-20_La_39,H,La,0.964531902,0.461321287,0.116883117,-0.689440994,0.577639752
CONTCAR-21_Bi_0,H,Bi,1.028227589,0.322134387,0.227272727,0.260869565,-0.47826087
CONTCAR-22_Bi_3,H,La,0.950503518,0.275889328,-0.236363636,0.408695652,-0.182608696
CONTCAR-23_Bi_5,H,Bi,1.048060983,0.338603426,-0.03030303,0.507246377,-0.47826087
CONTCAR-24_Bi_13,H,Bi,1.035049687,0.275889328,-0.236363636,-0.182608696,0.408695652
CONTCAR-25_Bi_14,H,Bi,1.037372721,0.019762846,-0.03030303,0.014492754,0.014492754
CONTCAR-26_Bi_16,H,Bi,1.008960824,0.275889328,-0.236363636,0.408695652,-0.182608696
CONTCAR-27_Bi_17,H,La,0.964326946,0.499717674,-0.766233766,0.577639752,0.155279503
CONTCAR-28_Bi_21,H,Bi,1.030270623,0.859683794,-1.318181818,1,0.260869565
CONTCAR-29_La_23,H,La,0.932955737,0.461321287,0.116883117,0.577639752,-0.689440994
CONTCAR-2_Bi_9,H,La,1.049830533,0.338603426,-0.03030303,-0.47826087,0.507246377
CONTCAR-30_La_24,H,La,0.948959314,0.364201016,0.558441558,-0.267080745,-0.267080745
CONTCAR-31_La_25,H,La,0.982777488,0.749294184,0.558441558,0.577639752,-1.111801242
CONTCAR-32_La_28,H,La,0.917240249,0.275889328,-0.236363636,-0.182608696,0.408695652
CONTCAR-33_La_29,H,La,0.9153691,0.338603426,-0.03030303,-0.47826087,0.507246377
CONTCAR-34_La_30,H,La,0.943774398,0.652173913,1,-0.47826087,-0.47826087
CONTCAR-35_La_31,H,La,0.973042051,0.400197628,0.613636364,-0.47826087,-0.108695652
CONTCAR-36_La_32,H,La,0.955253387,0.400197628,0.613636364,-0.108695652,-0.47826087
CONTCAR-37_La_33,H,La,0.950481566,0.400197628,0.613636364,-0.108695652,-0.47826087
CONTCAR-38_La_35,H,La,0.969435253,0.243741765,-0.373737374,0.342995169,0.014492754
CONTCAR-39_La_36,H,La,0.949531232,0.364201016,0.558441558,-0.267080745,-0.267080745
CONTCAR-3_Bi_1,H,Bi,1.018928053,0.691699605,-1.060606061,1,0.014492754
CONTCAR-40_La_37,H,La,0.965879007,0.461321287,0.116883117,-0.689440994,0.577639752
CONTCAR-41_La_38,H,La,0.885072555,0.019762846,-0.03030303,0.014492754,0.014492754
CONTCAR-42_La_41,H,La,0.946166968,0.325867369,0.484848485,0.014492754,-0.47826087
CONTCAR-43_La_43,H,La,0.946573018,0.428194993,0.656565657,-0.314009662,-0.314009662
CONTCAR-44_La_44,H,La,0.926561335,0.652173913,1,-0.182608696,-0.773913043
CONTCAR-45_Sn_48,H,Sn,1.039988932,0.670092227,-0.236363636,1,-0.773913043
CONTCAR-46_Sn_49,H,Sn,1.045133508,0.654369785,0.484848485,0.507246377,-0.971014493
CONTCAR-47_Sn_52,H,Sn,1.034450546,0.960474308,-1.472727273,1,0.408695652
CONTCAR-48_Sn_57,H,Sn,1.076379401,0.22910262,-0.03030303,-0.314009662,0.342995169
CONTCAR-49_Sn_58,H,La,1.007342564,0.652173913,1,-0.47826087,-0.47826087
CONTCAR-4_Sn_60,H,La,0.970432509,0.338603426,-0.03030303,-0.47826087,0.507246377
CONTCAR-50_Sn_62,H,Sn,1.052442113,0.674571805,-0.545454545,1,-0.47826087
CONTCAR-51_Sn_63,H,Sn,1.036723981,0.670092227,-0.236363636,1,-0.773913043
CONTCAR-52_Sn_66,H,Sn,1.032996903,1.31884058,1,1,-1.956521739
CONTCAR-53_Sn_67,H,Sn,1.05033814,0.389798607,-0.324675325,0.577639752,-0.267080745
CONTCAR-5_La_22,H,La,0.951767674,0.325867369,0.484848485,-0.47826087,0.014492754
CONTCAR-6_Bi_20,H,Bi,1.029028376,0.814888011,0.227272727,-1.217391304,1
CONTCAR-7_Bi_19,H,Bi,1.056827719,0.557312253,-0.854545455,0.408695652,0.408695652
CONTCAR-8_Bi_10,H,La,0.983368823,0.338603426,-0.03030303,-0.47826087,0.507246377
CONTCAR-9_Bi_7,H,La,0.977474373,0.176218709,-0.159090909,-0.108695652,0.260869565
