material_id,adsorbate_type,Nearest_Atom,Nearest_Normalized_Distance,disorder,delta_Bi,delta_La,delta_Sn
CONTCAR-10_Bi_13-1_Bi_21,OCHO,La,0.892244456,0.122793149,0.072727273,-0.182608696,0.113043478
CONTCAR-10_Bi_13-2_La_34,OCHO,La,0.844736987,0.389798607,-0.324675325,0.577639752,-0.267080745
CONTCAR-10_Bi_13-3_La_37,OCHO,La,0.893429195,0.122793149,0.072727273,-0.182608696,0.113043478
CONTCAR-10_Bi_13-4_La_39,OCHO,La,0.909144297,0.22910262,-0.03030303,-0.314009662,0.342995169
CONTCAR-10_Bi_13-5_Sn_48,OCHO,Sn,1.155812855,0.691699605,-1.060606061,1,0.014492754
CONTCAR-11_Bi_14-1_Bi_18,OCHO,La,0.840938593,0.355731225,-0.545454545,0.507246377,0.014492754
CONTCAR-11_Bi_14-3_La_28,OCHO,La,0.89082179,0.355731225,-0.545454545,0.014492754,0.507246377
CONTCAR-11_Bi_14-4_La_37,OCHO,La,0.873706513,0.499717674,-0.766233766,0.577639752,0.155279503
CONTCAR-11_Bi_14-5_Sn_66,OCHO,La,0.848248678,0.355731225,-0.545454545,0.507246377,0.014492754
CONTCAR-11_Bi_14-6_Sn_67,OCHO,Sn,1.117652521,0.677771504,-0.766233766,1,-0.267080745
CONTCAR-12_Bi_16-1_Bi_17,OCHO,Bi,1.215258747,0.674571805,-0.545454545,1,-0.47826087
CONTCAR-12_Bi_16-2_La_25,OCHO,La,0.913304097,0.521475626,0.381818182,0.408695652,-0.773913043
CONTCAR-12_Bi_16-3_La_41,OCHO,La,0.899034726,0.179747788,0.116883117,0.155279503,-0.267080745
CONTCAR-12_Bi_16-4_Sn_51,OCHO,Sn,1.066255774,0.691699605,-1.060606061,1,0.014492754
CONTCAR-12_Bi_16-5_Sn_63,OCHO,La,0.880614782,0.521475626,0.381818182,0.408695652,-0.773913043
CONTCAR-13_Bi_17-1_Bi_21,OCHO,Bi,1.190471325,0.355731225,-0.545454545,0.260869565,0.260869565
CONTCAR-13_Bi_17-2_La_34,OCHO,La,0.851403175,0.499717674,-0.766233766,0.577639752,0.155279503
CONTCAR-13_Bi_17-3_Sn_51,OCHO,Sn,1.083371608,0.557312253,-0.854545455,0.408695652,0.408695652
CONTCAR-13_Bi_17-4_Sn_63,OCHO,Sn,1.10035705,0.670092227,-0.236363636,1,-0.773913043
CONTCAR-14_Bi_18-1_La_28,OCHO,La,0.91266028,0.679051383,-0.854545455,-0.182608696,1
CONTCAR-14_Bi_18-3_La_37,OCHO,La,0.92434101,0.461321287,0.116883117,-0.689440994,0.577639752
CONTCAR-15_Bi_19-1_La_35,OCHO,La,0.863736146,0.389798607,-0.324675325,0.577639752,-0.267080745
CONTCAR-15_Bi_19-2_La_41,OCHO,La,0.893384824,0.275889328,-0.236363636,-0.182608696,0.408695652
CONTCAR-15_Bi_19-3_Sn_57,OCHO,La,0.87215628,0.275889328,-0.236363636,0.408695652,-0.182608696
CONTCAR-16_Bi_20-1_La_28,OCHO,La,0.916255878,0.679051383,-0.854545455,-0.182608696,1
CONTCAR-16_Bi_20-2_La_29,OCHO,La,0.883043359,0.322134387,0.227272727,-0.47826087,0.260869565
CONTCAR-16_Bi_20-3_La_31,OCHO,La,0.903669975,0.674571805,-0.545454545,-0.47826087,1
CONTCAR-16_Bi_20-4_La_33,OCHO,La,0.849992788,0.667105841,-0.03030303,-0.971014493,1
CONTCAR-16_Bi_20-5_La_36,OCHO,La,0.882388969,0.364201016,0.558441558,-0.267080745,-0.267080745
CONTCAR-17_Bi_21-1_La_34,OCHO,La,0.840752696,0.428194993,-0.545454545,0.630434783,-0.108695652
CONTCAR-17_Bi_21-2_La_37,OCHO,La,0.922536234,0.42259552,-0.159090909,-0.47826087,0.630434783
CONTCAR-17_Bi_21-3_Sn_67,OCHO,Sn,1.102353911,0.389798607,-0.324675325,0.577639752,-0.267080745
CONTCAR-18_La_22-1_La_32,OCHO,La,0.889414892,0.322134387,0.227272727,-0.47826087,0.260869565
CONTCAR-18_La_22-2_La_43,OCHO,La,0.850109008,0.21387791,0.313131313,0.014492754,-0.314009662
CONTCAR-18_La_22-3_Sn_52,OCHO,La,0.90571371,0.364201016,0.558441558,-0.267080745,-0.267080745
CONTCAR-18_La_22-4_Sn_58,OCHO,La,0.891266515,0.325867369,0.484848485,-0.47826087,0.014492754
CONTCAR-18_La_22-5_Sn_59,OCHO,La,0.86289729,0.521475626,0.381818182,0.408695652,-0.773913043
CONTCAR-19_La_23-1_Sn_64,OCHO,La,0.852299331,0.275889328,-0.236363636,0.408695652,-0.182608696
CONTCAR-19_La_23-2_Sn_66,OCHO,La,0.850738946,0.275889328,-0.236363636,0.408695652,-0.182608696
CONTCAR-1_Bi_0-1_La_39,OCHO,La,0.909000826,0.148221344,0.227272727,-0.108695652,-0.108695652
CONTCAR-1_Bi_0-2_La_44,OCHO,La,0.890618049,0.652173913,1,-0.182608696,-0.773913043
CONTCAR-1_Bi_0-3_Sn_47,OCHO,Sn,1.115397489,0.674571805,-0.545454545,1,-0.47826087
CONTCAR-1_Bi_0-4_Sn_48,OCHO,Sn,1.137878791,0.670092227,-0.236363636,1,-0.773913043
CONTCAR-1_Bi_0-5_Sn_49,OCHO,Sn,1.093125896,0.654369785,0.484848485,0.507246377,-0.971014493
