material_id,adsorbate_type,Nearest_Atom,Nearest_Normalized_Distance,disorder,alpha_Bi_Bi,alpha_Bi_La,alpha_Bi_Sn,alpha_La_Bi,alpha_La_La,alpha_La_Sn,alpha_Sn_Bi,alpha_Sn_La,alpha_Sn_Sn
CONTCAR-10_Bi_13-1_Bi_21,OCHO,La,0.8922444558837177,0.348375054896794,-0.5454545454545454,1.0,-0.4782608695652173,-0.022727272727272707,0.010869565217391353,0.010869565217391353,-0.5454545454545454,0.5072463768115942,0.01449275362318847
CONTCAR-10_Bi_13-2_La_34,OCHO,La,0.8447369874082201,0.5114185331576636,-0.5454545454545454,1.0,-0.4782608695652173,0.0,0.0,0.0,-1.3181818181818181,1.0,0.26086956521739135
CONTCAR-10_Bi_13-3_La_37,OCHO,La,0.8934291951469955,0.3159127506953594,-0.030303030303030276,0.5072463768115942,-0.4782608695652173,-0.40909090909090906,0.010869565217391353,0.3804347826086957,-0.2878787878787878,0.5072463768115942,-0.2318840579710144
CONTCAR-10_Bi_13-4_La_39,OCHO,La,0.9091442974506494,0.6146245059288538,-1.0606060606060606,1.0,0.01449275362318847,-0.2727272727272727,-0.23913043478260865,0.5,0.2272727272727273,1.0,-1.217391304347826
CONTCAR-10_Bi_13-5_Sn_48,OCHO,Sn,1.1558128549013222,0.685002195871761,-0.803030303030303,1.0,-0.2318840579710144,,,,-1.0606060606060606,1.0,0.01449275362318847
CONTCAR-11_Bi_14-1_Bi_18,OCHO,La,0.8409385930020946,0.9666959449568144,0.6565656565656566,0.5072463768115942,-1.1352657004830917,1.0,-1.9565217391304346,1.0,0.2272727272727273,1.0,-1.217391304347826
CONTCAR-11_Bi_14-3_La_28,OCHO,La,0.8908217900168985,0.8028839115795637,0.14141414141414144,0.5072463768115942,-0.6425120772946858,0.5,0.5,-0.9782608695652173,1.0,1.0,-1.9565217391304346
CONTCAR-11_Bi_14-4_La_37,OCHO,La,0.8737065131058173,0.36894305372566244,-0.6742424242424242,0.6304347826086957,0.01449275362318847,0.0,0.0,0.0,-0.030303030303030276,1.0,-0.9710144927536231
CONTCAR-11_Bi_14-5_Sn_66,OCHO,La,0.8482486776656548,1.0226906748645879,0.6565656565656566,0.5072463768115942,-1.1352657004830917,1.0,-1.9565217391304346,1.0,0.48484848484848486,1.0,-1.4637681159420288
CONTCAR-11_Bi_14-6_Sn_67,OCHO,Sn,1.1176525206775147,0.6733274776753037,-0.803030303030303,1.0,-0.2318840579710144,,,,-0.11616161616161606,1.0,-0.8888888888888887
