material_id,adsorbate_type,Nearest_Atom,Nearest_Normalized_Distance,disorder,delta_Bi,delta_Co,delta_La,delta_Ni,delta_Sn
CONTCAR-10_Ni_38,COOH,Ni,0.95180416,0.54041514,-0.619047619,0.418803419,0.46031746,-0.743589744,0.46031746
CONTCAR-10_Sn_52,COOH,Sn,1.038646945,0.884981685,-0.619047619,-1.615384615,1,1,0.19047619
CONTCAR-11_Sn_53,COOH,Sn,1.035028741,0.872527473,0.19047619,-0.743589744,1,1,-1.428571429
CONTCAR-12_Bi_54,COOH,Bi,1.058889986,1.208791209,-1.428571429,-1.615384615,1,1,1
CONTCAR-14_Bi_56,COOH,Bi,1.092189813,0.79010989,-1.428571429,1,1,-0.307692308,-0.214285714
CONTCAR-15_Bi_57,COOH,La,0.977623814,0.548717949,-0.619047619,-0.743589744,0.19047619,1,0.19047619
CONTCAR-15_Co_22,COOH,Co,0.925339223,0.648351648,-0.387755102,-1.241758242,0.306122449,1,0.306122449
CONTCAR-16_Bi_58,COOH,Bi,1.067433416,0.782857143,-0.942857143,1,0.028571429,1,-0.942857143
CONTCAR-16_Co_24,COOH,Co,0.9246543,0.295054945,-0.214285714,-0.307692308,0.392857143,0.346153846,-0.214285714
CONTCAR-17_Bi_59,COOH,La,0.885440897,0.812747253,-0.942857143,1,0.028571429,-1.092307692,1
CONTCAR-18_Bi_60,COOH,Bi,1.039692126,0.498901099,-0.619047619,0.128205128,1,0.128205128,-0.619047619
CONTCAR-19_Bi_61,COOH,Ni,0.945392091,0.295054945,-0.214285714,-0.307692308,-0.214285714,0.346153846,0.392857143
CONTCAR-1_La_0,COOH,La,0.903063052,0.511355311,-0.619047619,1,-0.619047619,0.128205128,0.19047619
CONTCAR-1_Sn_40,COOH,Sn,1.059759802,0.575091575,1,0.128205128,0.19047619,0.128205128,-1.428571429
CONTCAR-20_Bi_62,COOH,Bi,1.04694246,1.571428571,-3.857142857,1,1,1,1
CONTCAR-21_Bi_63,COOH,Bi,1.055783126,0.035604396,0.028571429,-0.046153846,0.028571429,-0.046153846,0.028571429
CONTCAR-22_Bi_64,COOH,Bi,1.1155946,0.812747253,-0.942857143,1,0.028571429,-1.092307692,1
CONTCAR-24_Bi_66,COOH,Bi,1.101378109,1.571428571,-3.857142857,1,1,1,1
CONTCAR-25_Bi_67,COOH,La,1.03164694,0.409230769,-0.942857143,1,0.028571429,-0.046153846,0.028571429
CONTCAR-2_Sn_41,COOH,Sn,1.052447233,0.587545788,-1.428571429,1,0.19047619,0.128205128,0.19047619
CONTCAR-3_Sn_43,COOH,Sn,1.051344836,1.19010989,1,-0.307692308,1,1,-2.642857143
CONTCAR-4_Sn_44,COOH,Sn,1.090091766,0.409230769,0.028571429,1,0.028571429,-0.046153846,-0.942857143
CONTCAR-5_Sn_45,COOH,Sn,1.060691468,0.796336996,-0.619047619,1,1,-0.743589744,-0.619047619
CONTCAR-6_Sn_47,COOH,Sn,1.03693048,0.39010989,-0.214285714,1,-0.214285714,-0.307692308,-0.214285714
CONTCAR-7_Sn_48,COOH,Sn,1.040593592,0.511355311,-0.619047619,0.128205128,0.19047619,1,-0.619047619
CONTCAR-8_Sn_50,COOH,La,0.904818911,0.408791209,1,-0.307692308,-0.214285714,-0.307692308,-0.214285714
CONTCAR-9_Sn_51,COOH,Sn,1.030947392,0.872527473,0.19047619,-0.743589744,1,1,-1.428571429
