material_id,adsorbate_type,Nearest_Atom,Nearest_Normalized_Distance,disorder,alpha_Bi_Bi,alpha_Bi_Co,alpha_Bi_La,alpha_Bi_Ni,alpha_Bi_Sn,alpha_Co_Bi,alpha_Co_Co,alpha_Co_La,alpha_Co_Ni,alpha_Co_Sn,alpha_La_Bi,alpha_La_Co,alpha_La_La,alpha_La_Ni,alpha_La_Sn,alpha_Ni_Bi,alpha_Ni_Co,alpha_Ni_La,alpha_Ni_Ni,alpha_Ni_Sn,alpha_Sn_Bi,alpha_Sn_Co,alpha_Sn_La,alpha_Sn_Ni,alpha_Sn_Sn
CONTCAR-10_Ni_38,COOH,Ni,0.9518041596138275,0.9175148555148555,1.0,-0.452991452991453,1.0,-2.341880341880342,0.5952380952380952,0.02857142857142847,0.4769230769230769,-0.4571428571428571,-0.5692307692307692,0.5142857142857142,1.0,1.0,1.0,-4.230769230769231,1.0,-0.32671957671957674,0.00712250712250706,-0.10185185185185186,-0.2108262108262109,0.6177248677248678,-1.9142857142857141,1.0,1.0,-1.0923076923076924,1.0
CONTCAR-10_Sn_52,COOH,Sn,1.0386469447033302,0.8237170237170238,1.0,-0.7435897435897436,1.0,-1.8333333333333335,0.3928571428571428,-0.09163059163059169,-0.49261849261849266,0.23340548340548337,0.3065268065268065,0.031024531024530955,,,,,,,,,,,1.0,-2.9230769230769234,1.0,-0.3076923076923077,1.0
CONTCAR-11_Sn_53,COOH,Sn,1.0350287405705505,0.7391208791208792,1.0,-0.7435897435897436,1.0,-0.7435897435897436,-0.6190476190476191,0.7571428571428571,-0.5692307692307692,0.5142857142857142,-0.04615384615384621,-0.7000000000000001,,,,,,,,,,,0.5952380952380952,-1.6153846153846156,1.0,0.5641025641025641,-0.6190476190476192
CONTCAR-12_Bi_54,COOH,Bi,1.0588899860261127,0.8682365253793826,1.0,-2.4871794871794872,1.0,1.0,-0.6190476190476191,-0.3877551020408163,-0.4945054945054945,0.30612244897959184,1.0,-0.3877551020408163,,,,,,,,,,,,,,,
CONTCAR-14_Bi_56,COOH,Bi,1.0921898134578418,0.8398046398046398,1.0,0.1282051282051282,1.0,-2.4871794871794872,0.19047619047619047,,,,,,,,,,,-0.3877551020408163,0.25274725274725274,0.30612244897959184,-0.4945054945054945,0.30612244897959184,-1.4285714285714288,1.0,1.0,-1.6153846153846154,1.0
CONTCAR-15_Bi_57,COOH,La,0.9776238143648801,0.8809340659340659,1.0,-4.230769230769231,1.0,1.0,1.0,0.02857142857142847,0.21538461538461534,0.02857142857142847,-0.5692307692307692,0.27142857142857135,1.0,-2.4871794871794872,1.0,-0.7435897435897436,1.0,,,,,,-0.2142857142857144,-0.3076923076923077,1.0,-0.3076923076923077,-0.2142857142857144
CONTCAR-15_Co_22,COOH,Co,0.9253392234772253,1.0211302586302584,1.0,-2.4871794871794872,1.0,0.1282051282051282,0.19047619047619047,-0.09163059163059169,-0.49261849261849266,0.23340548340548337,0.3065268065268065,0.031024531024530955,1.0,-4.230769230769231,1.0,1.0,1.0,,,,,,1.0,-2.9230769230769234,1.0,-0.3076923076923077,1.0
CONTCAR-16_Bi_58,COOH,Bi,1.0674334158743661,1.1146275946275948,1.0,0.1282051282051282,1.0,0.1282051282051282,-2.238095238095238,,,,,,1.0,1.0,1.0,-4.230769230769231,1.0,,,,,,-0.4571428571428571,1.0,1.0,-0.917948717948718,-0.6190476190476191
CONTCAR-16_Co_24,COOH,Co,0.9246543004378438,0.7826268969126111,1.0,-1.6153846153846154,1.0,0.1282051282051282,-0.6190476190476191,-0.5034013605442177,-0.24542124542124544,0.24829931972789115,0.6263736263736264,-0.09863945578231292,1.0,-1.6153846153846154,1.0,-1.6153846153846154,1.0,-0.0793650793650793,-0.16239316239316248,0.46031746031746035,0.41880341880341876,-0.6190476190476191,0.653061224489796,-2.456043956043956,1.0,-0.4010989010989011,1.0
CONTCAR-17_Bi_59,COOH,La,0.8854408968686036,0.9427248677248675,1.0,-1.1794871794871795,1.0,-1.1794871794871795,0.19047619047619047,,,,,,1.0,1.0,1.0,-4.230769230769231,1.0,-0.45039682539682546,0.09188034188034183,0.15674603174603174,-0.2350427350427351,0.42658730158730157,,,,,
