material_id,adsorbate_type,Nearest_Atom,Nearest_Normalized_Distance,disorder,delta_Bi,delta_Co,delta_La,delta_Ni,delta_Sn
CONTCAR-10_Ni_38,H,Ni,0.989051223,0.596618766,-0.494505495,0.597633136,0.252747253,-1.01183432,0.626373626
CONTCAR-10_Sn_52,H,Sn,1.021594706,0.54041514,-0.619047619,-0.743589744,0.46031746,0.418803419,0.46031746
CONTCAR-11_Ni_39,H,La,1.009912871,0.478521479,0.116883117,-0.426573427,-0.766233766,0.524475524,0.558441558
CONTCAR-11_Sn_53,H,Sn,1.026063845,0.872527473,0.19047619,-0.743589744,1,1,-1.428571429
CONTCAR-12_Bi_54,H,Bi,1.029275862,0.808791209,-0.214285714,-1.615384615,-0.214285714,1,1
CONTCAR-12_La_11,H,La,0.902113817,0.435604396,0.028571429,1,0.028571429,-1.092307692,0.028571429
CONTCAR-13_Bi_55,H,Ni,0.985427326,0.637676609,-0.734693878,0.626373626,0.306122449,-0.868131868,0.653061224
CONTCAR-13_La_12,H,La,0.901585806,0.911355311,-2.238095238,1,0.19047619,0.128205128,1
CONTCAR-14_Bi_56,H,Sn,1.030880217,0.637676609,-1.081632653,1,0.306122449,-0.494505495,0.306122449
CONTCAR-14_La_13,H,La,0.953609958,0.536577708,-0.387755102,-0.494505495,0.306122449,-0.494505495,1
CONTCAR-15_Bi_57,H,La,0.980758788,0.349450549,-0.387755102,-0.494505495,0.306122449,0.252747253,0.306122449
CONTCAR-15_Co_22,H,Co,0.970672791,0.556593407,-0.214285714,-0.961538462,0.392857143,1,-0.214285714
CONTCAR-16_Bi_58,H,Bi,1.036416797,0.782857143,-0.942857143,1,0.028571429,1,-0.942857143
CONTCAR-16_Co_24,H,Co,0.975832748,0.356288156,-0.079365079,-0.743589744,0.46031746,0.418803419,-0.079365079
CONTCAR-17_Bi_59,H,La,0.991895797,0.461538462,-0.214285714,0.346153846,0.392857143,-0.961538462,0.392857143
CONTCAR-18_Bi_60,H,Bi,1.016416427,0.498901099,-0.619047619,0.128205128,1,0.128205128,-0.619047619
CONTCAR-19_Bi_61,H,La,1.020247043,0.323076923,-0.214285714,-0.307692308,0.392857143,-0.307692308,0.392857143
CONTCAR-1_La_0,H,La,0.969959595,0.207472527,0.028571429,-0.046153846,0.028571429,0.476923077,-0.457142857
CONTCAR-1_Sn_40,H,La,1.072603867,0.439874411,0.306122449,0.252747253,0.306122449,0.252747253,-1.081632653
CONTCAR-20_Bi_62,H,Bi,1.018638539,0.786373626,-0.942857143,1,-0.942857143,-0.046153846,1
CONTCAR-21_Bi_63,H,La,0.980449115,0.288644689,0.19047619,0.128205128,0.19047619,-0.743589744,0.19047619
CONTCAR-22_Bi_64,H,Bi,1.033084851,0.565934066,-0.821428571,-0.307692308,0.392857143,-0.307692308,1
CONTCAR-23_Bi_65,H,La,0.947947886,0.548717949,-0.619047619,1,0.19047619,-0.743589744,0.19047619
CONTCAR-24_Bi_66,H,La,1.033235673,0.461538462,0.392857143,-0.961538462,0.392857143,0.346153846,-0.214285714
CONTCAR-25_Bi_67,H,La,1.01117397,0.317425432,-0.387755102,0.252747253,-0.387755102,0.252747253,0.306122449
CONTCAR-2_La_1,H,La,0.909875423,1.171428571,-2.238095238,1,-0.619047619,1,1
CONTCAR-2_Sn_41,H,Sn,1.031762576,0.637676609,-1.081632653,1,0.306122449,-0.494505495,0.306122449
CONTCAR-3_La_2,H,La,1.006081153,0.478521479,0.116883117,-0.426573427,-0.766233766,0.524475524,0.558441558
CONTCAR-3_Sn_43,H,Sn,1.070372254,0.439874411,0.306122449,0.252747253,0.306122449,0.252747253,-1.081632653
CONTCAR-4_La_3,H,La,1.01058275,0.62700157,1,0.252747253,0.306122449,-0.494505495,-1.081632653
CONTCAR-4_Sn_44,H,La,0.988388346,0.295054945,-0.214285714,0.346153846,0.392857143,-0.307692308,-0.214285714
CONTCAR-5_La_4,H,Co,0.975816941,0.556593407,-0.214285714,-0.961538462,0.392857143,1,-0.214285714
CONTCAR-5_Sn_45,H,La,1.009809766,0.478521479,0.116883117,-0.426573427,-0.766233766,0.524475524,0.558441558
CONTCAR-6_La_5,H,La,0.952540607,0.803453689,1,1,-0.387755102,-1.241758242,-0.387755102
CONTCAR-6_Sn_47,H,Sn,1.025872277,0.288644689,0.19047619,0.128205128,0.19047619,-0.743589744,0.19047619
CONTCAR-7_La_6,H,La,0.985145606,0.478521479,0.558441558,-0.426573427,0.116883117,0.524475524,-0.766233766
CONTCAR-7_Sn_48,H,Sn,1.02787953,0.317425432,-0.387755102,0.252747253,0.306122449,0.252747253,-0.387755102
CONTCAR-8_Sn_50,H,Sn,1.034652966,0.349450549,0.306122449,-0.494505495,0.306122449,0.252747253,-0.387755102
CONTCAR-9_La_8,H,La,0.978576596,0.349450549,-0.387755102,-0.494505495,0.306122449,0.252747253,0.306122449
CONTCAR-9_Sn_51,H,Sn,1.016825172,0.713736264,0.392857143,-0.961538462,0.392857143,1,-0.821428571
