material_id,adsorbate_type,Nearest_Atom,Nearest_Normalized_Distance,disorder,delta_Bi,delta_Co,delta_La,delta_Ni,delta_Sn
CONTCAR-10_La_11-1_Bi_58,OCHO,La,0.856639844,0.782857143,-0.942857143,1,0.028571429,1,-0.942857143
CONTCAR-10_La_11-2_Ni_38,OCHO,La,0.915642314,0.637676609,-1.081632653,1,0.306122449,-0.494505495,0.306122449
CONTCAR-10_La_11-3_Sn_41,OCHO,La,0.884754699,0.587545788,-1.428571429,1,0.19047619,0.128205128,0.19047619
CONTCAR-10_La_11-4_Sn_48,OCHO,La,0.917955524,0.511355311,-0.619047619,1,0.19047619,0.128205128,-0.619047619
CONTCAR-10_La_11-5_Bi_64,OCHO,La,0.856789413,0.548717949,-0.619047619,1,0.19047619,-0.743589744,0.19047619
CONTCAR-10_La_11-6_Bi_59,OCHO,La,0.912578074,0.51522763,-0.387755102,1,0.306122449,-0.494505495,-0.387755102
CONTCAR-10_La_11-7_Sn_44,OCHO,La,0.86596376,0.409230769,0.028571429,1,0.028571429,-0.046153846,-0.942857143
CONTCAR-11_La_12-1_Bi_56,OCHO,La,0.854891107,0.587545788,-1.428571429,1,0.19047619,0.128205128,0.19047619
CONTCAR-11_La_12-2_Bi_61,OCHO,La,0.919045581,0.581318681,-1.428571429,0.346153846,0.392857143,0.346153846,0.392857143
CONTCAR-11_La_12-3_Sn_52,OCHO,La,0.863583231,0.439874411,-1.081632653,0.252747253,0.306122449,0.252747253,0.306122449
CONTCAR-11_La_12-4_La_13,OCHO,La,0.901381362,0.498901099,-0.619047619,0.128205128,-0.619047619,0.128205128,1
CONTCAR-11_La_12-5_Bi_62,OCHO,La,0.911681441,0.911355311,-2.238095238,1,0.19047619,0.128205128,1
CONTCAR-11_La_12-6_Ni_39,OCHO,La,0.954135685,0.537912088,-0.214285714,-0.307692308,-0.821428571,0.346153846,1
CONTCAR-11_La_12-7_Bi_55,OCHO,La,0.909442717,0.923809524,-2.238095238,1,0.19047619,1,0.19047619
CONTCAR-12_La_13-1_Bi_62,OCHO,La,0.900203194,0.786373626,-0.942857143,1,-0.942857143,-0.046153846,1
CONTCAR-12_La_13-2_Bi_67,OCHO,La,0.9141593,0.704395604,-1.428571429,-0.307692308,0.392857143,1,0.392857143
CONTCAR-12_La_13-3_Bi_55,OCHO,La,0.848341049,0.872527473,-1.428571429,-0.743589744,0.19047619,1,1
CONTCAR-12_La_13-4_Sn_47,OCHO,La,0.875728755,0.39010989,-0.214285714,-0.307692308,-0.214285714,1,-0.214285714
CONTCAR-12_La_13-5_Bi_64,OCHO,La,0.854617843,0.812747253,-0.942857143,-1.092307692,0.028571429,1,1
CONTCAR-13_Co_22-1_Bi_61,OCHO,La,0.907101303,0.648351648,-0.387755102,-1.241758242,0.306122449,1,0.306122449
CONTCAR-13_Co_22-2_Sn_52,OCHO,Co,1.014229152,0.648351648,-0.387755102,-1.241758242,0.306122449,1,0.306122449
CONTCAR-13_Co_22-3_Co_24,OCHO,Co,1.016870253,0.301898102,-0.324675325,-0.426573427,0.116883117,0.524475524,0.116883117
CONTCAR-13_Co_22-5_Bi_54,OCHO,La,0.913208471,0.648351648,-0.387755102,-1.241758242,0.306122449,1,0.306122449
CONTCAR-14_Co_24-2_Sn_52,OCHO,Co,1.03258201,0.301898102,-0.324675325,-0.426573427,0.116883117,0.524475524,0.116883117
CONTCAR-14_Co_24-3_Bi_60,OCHO,La,0.902422073,0.349450549,-0.387755102,-0.494505495,0.306122449,0.252747253,0.306122449
CONTCAR-14_Co_24-4_Bi_54,OCHO,La,0.901930089,0.349450549,-0.387755102,-0.494505495,0.306122449,0.252747253,0.306122449
CONTCAR-15_Ni_38-1_Bi_56,OCHO,La,0.901918787,0.532112332,-1.158730159,0.418803419,0.46031746,-0.162393162,0.46031746
CONTCAR-15_Ni_38-2_Bi_55,OCHO,La,0.892585569,0.532112332,-1.158730159,0.418803419,0.46031746,-0.162393162,0.46031746
CONTCAR-15_Ni_38-3_Sn_41,OCHO,La,0.86337942,0.435604396,0.028571429,1,0.028571429,-1.092307692,0.028571429
CONTCAR-15_Ni_38-4_Bi_64,OCHO,La,0.855233474,0.548717949,-0.619047619,1,0.19047619,-0.743589744,0.19047619
CONTCAR-16_Ni_39-1_Bi_61,OCHO,La,0.87414264,0.356288156,-0.079365079,-0.743589744,-0.079365079,0.418803419,0.46031746
CONTCAR-16_Ni_39-2_Bi_62,OCHO,La,0.874503197,0.295054945,-0.214285714,-0.307692308,-0.214285714,0.346153846,0.392857143
CONTCAR-17_Sn_40-1_Bi_58,OCHO,La,0.915317077,0.605651491,-1.081632653,0.252747253,0.306122449,1,-0.387755102
CONTCAR-17_Sn_40-2_Sn_44,OCHO,Sn,1.136973613,0.605651491,0.306122449,1,-0.387755102,0.252747253,-1.081632653
CONTCAR-17_Sn_40-3_Sn_43,OCHO,La,0.904791317,0.439874411,0.306122449,0.252747253,0.306122449,0.252747253,-1.081632653
CONTCAR-18_Sn_41-1_Bi_56,OCHO,Sn,1.092491162,0.637676609,-1.081632653,1,0.306122449,-0.494505495,0.306122449
CONTCAR-18_Sn_41-2_Bi_60,OCHO,Sn,1.076216152,0.547252747,-0.821428571,1,0.392857143,-0.307692308,-0.214285714
CONTCAR-18_Sn_41-3_Bi_58,OCHO,La,0.890263529,0.587545788,-1.428571429,1,0.19047619,0.128205128,0.19047619
CONTCAR-19_Sn_43-1_Bi_54,OCHO,La,0.85229496,0.409230769,-0.942857143,-0.046153846,0.028571429,1,0.028571429
CONTCAR-19_Sn_43-2_Sn_53,OCHO,Sn,1.059778629,0.872527473,0.19047619,-0.743589744,1,1,-1.428571429
CONTCAR-1_La_0-1_Bi_54,OCHO,La,0.910179821,0.314685315,0.116883117,0.048951049,0.116883117,0.524475524,-0.766233766
CONTCAR-1_La_0-2_Bi_63,OCHO,La,0.951389888,0.163858364,-0.079365079,-0.162393162,-0.079365079,0.418803419,-0.079365079
CONTCAR-1_La_0-3_La_4,OCHO,La,0.90232893,0.295054945,-0.214285714,-0.307692308,-0.214285714,0.346153846,0.392857143
CONTCAR-1_La_0-4_Sn_45,OCHO,La,0.922519569,0.163858364,-0.079365079,-0.162393162,-0.079365079,0.418803419,-0.079365079
CONTCAR-1_La_0-5_Sn_43,OCHO,La,0.886077706,0.771428571,-0.387755102,1,-0.387755102,1,-1.081632653
CONTCAR-1_La_0-6_La_6,OCHO,La,0.918491738,0.323076923,-0.079365079,0.418803419,-0.079365079,0.418803419,-0.619047619
CONTCAR-1_La_0-7_Sn_53,OCHO,La,0.883958286,0.511355311,-0.619047619,1,0.19047619,0.128205128,-0.619047619
CONTCAR-20_Sn_44-1_Bi_58,OCHO,La,0.866924199,0.511355311,-0.619047619,1,0.19047619,0.128205128,-0.619047619
CONTCAR-20_Sn_44-2_Sn_48,OCHO,La,0.914516781,0.511355311,-0.619047619,1,0.19047619,0.128205128,-0.619047619
CONTCAR-21_Sn_45-1_Bi_63,OCHO,La,0.850086845,0.409230769,-0.942857143,1,0.028571429,-0.046153846,0.028571429
CONTCAR-21_Sn_45-2_Bi_65,OCHO,Sn,1.155686878,0.79010989,-1.428571429,1,1,-0.307692308,-0.214285714
CONTCAR-22_Sn_47-1_Bi_67,OCHO,La,0.884422708,0.884981685,1,1,-0.619047619,-1.615384615,0.19047619
CONTCAR-23_Sn_48-1_Bi_59,OCHO,Sn,1.103149637,0.786373626,-0.942857143,-0.046153846,1,1,-0.942857143
CONTCAR-23_Sn_48-2_Bi_57,OCHO,La,0.893324366,0.317425432,-0.387755102,0.252747253,0.306122449,0.252747253,-0.387755102
CONTCAR-24_Sn_50-1_Sn_51,OCHO,Sn,1.097021615,0.925902669,0.306122449,-1.241758242,1,1,-1.081632653
CONTCAR-24_Sn_50-2_Bi_66,OCHO,Sn,1.110764656,0.548717949,0.19047619,-0.743589744,0.19047619,1,-0.619047619
CONTCAR-25_Sn_51-1_Sn_53,OCHO,Sn,1.066363783,0.872527473,0.19047619,-0.743589744,1,1,-1.428571429
CONTCAR-25_Sn_51-2_Bi_66,OCHO,Sn,1.091894606,0.925902669,0.306122449,-1.241758242,1,1,-1.081632653
CONTCAR-26_Sn_52-1_Bi_56,OCHO,La,0.864532908,0.439874411,-1.081632653,0.252747253,0.306122449,0.252747253,0.306122449
CONTCAR-26_Sn_52-2_Bi_61,OCHO,La,0.865650107,0.349450549,-0.387755102,-0.494505495,0.306122449,0.252747253,0.306122449
CONTCAR-26_Sn_52-3_Bi_60,OCHO,Bi,1.158391835,0.498901099,-0.619047619,0.128205128,1,0.128205128,-0.619047619
CONTCAR-27_Sn_53-1_Bi_63,OCHO,Sn,1.058125545,0.872527473,0.19047619,-0.743589744,1,1,-1.428571429
CONTCAR-29_Bi_55-1_Bi_56,OCHO,La,0.858687814,0.409230769,-0.942857143,1,0.028571429,-0.046153846,0.028571429
CONTCAR-29_Bi_55-2_Bi_64,OCHO,La,0.921948122,0.91522763,-1.775510204,-0.494505495,0.306122449,1,1
CONTCAR-2_La_1-1_Bi_63,OCHO,La,0.914306986,0.79010989,-1.428571429,1,-0.214285714,-0.307692308,1
CONTCAR-2_La_1-2_Bi_65,OCHO,La,0.854727481,0.796336996,-0.619047619,1,-0.619047619,-0.743589744,1
CONTCAR-2_La_1-3_Sn_50,OCHO,La,0.853763939,0.408791209,1,-0.307692308,-0.214285714,-0.307692308,-0.214285714
CONTCAR-30_Bi_56-1_Bi_60,OCHO,Bi,1.11691048,0.498901099,-0.619047619,0.128205128,1,0.128205128,-0.619047619
CONTCAR-31_Bi_57-1_Bi_59,OCHO,La,0.869073303,0.409230769,-0.942857143,-0.046153846,0.028571429,1,0.028571429
CONTCAR-31_Bi_57-2_Bi_66,OCHO,La,0.864809713,0.412747253,-0.942857143,-0.046153846,0.028571429,-0.046153846,1
CONTCAR-32_Bi_58-1_Bi_60,OCHO,La,0.864577222,0.251282051,-0.619047619,0.128205128,0.19047619,0.128205128,0.19047619
CONTCAR-33_Bi_59-1_Bi_64,OCHO,La,0.917885362,0.797802198,-1.914285714,-0.046153846,0.028571429,1,1
CONTCAR-36_Bi_62-1_Bi_67,OCHO,La,0.920556072,0.317425432,-0.387755102,0.252747253,-0.387755102,0.252747253,0.306122449
CONTCAR-3_La_2-1_Bi_62,OCHO,La,0.920248487,0.317425432,-0.387755102,0.252747253,-0.387755102,0.252747253,0.306122449
CONTCAR-3_La_2-2_Ni_39,OCHO,La,0.921508204,0.295054945,-0.214285714,-0.307692308,-0.214285714,0.346153846,0.392857143
CONTCAR-3_La_2-3_Bi_67,OCHO,La,0.918609349,0.317425432,-0.387755102,0.252747253,-0.387755102,0.252747253,0.306122449
CONTCAR-3_La_2-4_La_4,OCHO,La,0.869140114,0.251282051,0.19047619,0.128205128,-0.619047619,0.128205128,0.19047619
