POSCAR,Slab,E_H*,G_H*,EH2,GH2,deta_E_H,deta_G_H,Nearest_Atom
1_Sn_50,-438.05173,-441.13858,-440.97858,-7.04,-7.03,0.43315,0.43815,Sn
2_Bi_9,-438.05173,-440.78684,-440.62684,-7.04,-7.03,0.78489,0.78989,Bi
3_Bi_1,-438.05173,-440.74903,-440.58903,-7.04,-7.03,0.8227,0.8277,Bi
4_Sn_60,-438.05173,-441.59061,-441.43061,-7.04,-7.03,-0.01888,-0.01388,Sn
5_La_22,-438.05173,-441.85222,-441.69222,-7.04,-7.03,-0.28049,-0.27549,La
6_Bi_20,-438.05173,-440.89281,-440.73281,-7.04,-7.03,0.67892,0.68392,Bi
7_Bi_19,-438.05173,-440.93125,-440.77125,-7.04,-7.03,0.64048,0.64548,Bi
8_Bi_10,-438.05173,-441.05077,-440.89077,-7.04,-7.03,0.52096,0.52596,Bi
9_Bi_7,-438.05173,-440.91333,-440.75333,-7.04,-7.03,0.6584,0.6634,Bi
10_Sn_54,-438.05173,-441.89829,-441.73829,-7.04,-7.03,-0.32656,-0.32156,La
11_La_42,-438.05173,-441.93665,-441.77665,-7.04,-7.03,-0.36492,-0.35992,La
12_Bi_6,-438.05173,-440.65508,-440.49508,-7.04,-7.03,0.91665,0.92165,Bi
13_Sn_47,-438.05173,-441.07221,-440.91221,-7.04,-7.03,0.49952,0.50452,Sn
14_La_34,-438.05173,-441.08371,-440.92371,-7.04,-7.03,0.48802,0.49302,La
15_Bi_2,-438.05173,-440.97914,-440.81914,-7.04,-7.03,0.59259,0.59759,Bi
16_Sn_64,-438.05173,-441.31067,-441.15067,-7.04,-7.03,0.26106,0.26606,Sn
17_Sn_51,-438.05173,-441.34675,-441.18675,-7.04,-7.03,0.22498,0.22998,Sn
18_Bi_18,-438.05173,-441.18161,-441.02161,-7.04,-7.03,0.39012,0.39512,Bi
19_Sn_59,-438.05173,-441.07482,-440.91482,-7.04,-7.03,0.49691,0.50191,Sn
20_La_39,-438.05173,-442.72511,-442.56511,-7.04,-7.03,-1.15338,-1.14838,La
21_Bi_0,-438.05173,-440.79856,-440.63856,-7.04,-7.03,0.77317,0.77817,Bi
22_Bi_3,-438.05173,-441.06383,-440.90383,-7.04,-7.03,0.5079,0.5129,Bi
23_Bi_5,-438.05173,-440.60786,-440.44786,-7.04,-7.03,0.96387,0.96887,Bi
24_Bi_13,-438.05173,-440.97628,-440.81628,-7.04,-7.03,0.59545,0.60045,Bi
25_Bi_14,-438.05173,-440.79264,-440.63264,-7.04,-7.03,0.77909,0.78409,Bi
26_Bi_16,-438.05173,-440.81772,-440.65772,-7.04,-7.03,0.75401,0.75901,Bi
27_Bi_17,-438.05173,-441.11644,-440.95644,-7.04,-7.03,0.45529,0.46029,Bi
28_Bi_21,-438.05173,-440.7571,-440.5971,-7.04,-7.03,0.81463,0.81963,Bi
29_La_23,-438.05173,-441.67726,-441.51726,-7.04,-7.03,-0.10553,-0.10053,Sn
30_La_24,-438.05173,-442.62005,-442.46005,-7.04,-7.03,-1.04832,-1.04332,La
31_La_25,-438.05173,-441.33279,-441.17279,-7.04,-7.03,0.23894,0.24394,Sn
32_La_28,-438.05173,-441.7942,-441.6342,-7.04,-7.03,-0.22247,-0.21747,La
33_La_29,-438.05173,-441.198,-441.038,-7.04,-7.03,0.37373,0.37873,Bi
34_La_30,-438.05173,-441.88921,-441.72921,-7.04,-7.03,-0.31748,-0.31248,La
35_La_31,-438.05173,-442.57513,-442.41513,-7.04,-7.03,-1.0034,-0.9984,La
36_La_32,-438.05173,-442.48871,-442.32871,-7.04,-7.03,-0.91698,-0.91198,La
37_La_33,-438.05173,-442.49855,-442.33855,-7.04,-7.03,-0.92682,-0.92182,La
38_La_35,-438.05173,-441.32725,-441.16725,-7.04,-7.03,0.24448,0.24948,Sn
39_La_36,-438.05173,-442.61436,-442.45436,-7.04,-7.03,-1.04263,-1.03763,La
40_La_37,-438.05173,-442.71962,-442.55962,-7.04,-7.03,-1.14789,-1.14289,La
41_La_38,-438.05173,-441.33597,-441.17597,-7.04,-7.03,0.23576,0.24076,La
42_La_41,-438.05173,-441.89657,-441.73657,-7.04,-7.03,-0.32484,-0.31984,La
43_La_43,-438.05173,-442.25457,-442.09457,-7.04,-7.03,-0.68284,-0.67784,La
44_La_44,-438.05173,-442.06451,-441.90451,-7.04,-7.03,-0.49278,-0.48778,La
45_Sn_48,-438.05173,-441.13255,-440.97255,-7.04,-7.03,0.43918,0.44418,Sn
46_Sn_49,-438.05173,-441.19998,-441.03998,-7.04,-7.03,0.37175,0.37675,Sn
47_Sn_52,-438.05173,-440.97722,-440.81722,-7.04,-7.03,0.59451,0.59951,Sn
48_Sn_57,-438.05173,-441.12461,-440.96461,-7.04,-7.03,0.44712,0.45212,Sn
49_Sn_58,-438.05173,-441.45906,-441.29906,-7.04,-7.03,0.11267,0.11767,Sn
50_Sn_62,-438.05173,-440.98078,-440.82078,-7.04,-7.03,0.59095,0.59595,Sn
51_Sn_63,-438.05173,-441.34602,-441.18602,-7.04,-7.03,0.22571,0.23071,Sn
52_Sn_66,-438.05173,-441.38391,-441.22391,-7.04,-7.03,0.18782,0.19282,Sn
53_Sn_67,-438.05173,-441.11094,-440.95094,-7.04,-7.03,0.46079,0.46579,Sn
