O1_adsorb_site,O2_adsorb_site,slab,E_OCHO*,G_OCHO*,E_CO2,G_CO2,EH2,G_H2,deta_E_OCHO*,ZPE_OCHO,CpOCHO,TsOCHO,Correction_COOH*,deta_G_OCHO,sol,final,Nearest_Atom
1_Bi_0,1_La_39,-438.05173,-467.10006,-466.61006,-22.51,-22.76,-7.04,-7.03,-3.01833,0.62,0.11,-0.24,0.49,-2.38333,-0.1,-2.38333,La
1_Bi_0,2_La_44,-438.05173,-466.84842,-466.35842,-22.51,-22.76,-7.04,-7.03,-2.76669,0.62,0.11,-0.24,0.49,-2.13169,-0.1,-2.13169,La
1_Bi_0,3_Sn_47,-438.05173,-464.56212,-464.07212,-22.51,-22.76,-7.04,-7.03,-0.48039,0.62,0.11,-0.24,0.49,0.15461,-0.1,0.15461,Sn
1_Bi_0,4_Sn_48,-438.05173,-464.63916,-464.14916,-22.51,-22.76,-7.04,-7.03,-0.55743,0.62,0.11,-0.24,0.49,0.07757,-0.1,0.07757,Sn
1_Bi_0,5_Sn_49,-438.05173,-464.74801,-464.25801,-22.51,-22.76,-7.04,-7.03,-0.66628,0.62,0.11,-0.24,0.49,-0.03128,-0.1,-0.03128,Sn
2_Bi_1,1_Bi_3,-438.05173,-464.53508,-464.04508,-22.51,-22.76,-7.04,-7.03,-0.45335,0.62,0.11,-0.24,0.49,0.18165,-0.1,0.18165,Sn
2_Bi_1,2_Bi_5,-438.05173,-464.51323,-464.02323,-22.51,-22.76,-7.04,-7.03,-0.4315,0.62,0.11,-0.24,0.49,0.2035,-0.1,0.2035,Sn
2_Bi_1,3_Bi_19,-438.05173,-464.57485,-464.08485,-22.51,-22.76,-7.04,-7.03,-0.49312,0.62,0.11,-0.24,0.49,0.14188,-0.1,0.14188,Bi
2_Bi_1,4_La_35,-438.05173,-465.14396,-464.65396,-22.51,-22.76,-7.04,-7.03,-1.06223,0.62,0.11,-0.24,0.49,-0.42723,-0.1,-0.42723,La
2_Bi_1,5_Sn_52,-438.05173,-464.22533,-463.73533,-22.51,-22.76,-7.04,-7.03,-0.1436,0.62,0.11,-0.24,0.49,0.4914,-0.1,0.4914,Sn
2_Bi_1,6_Sn_57,-438.05173,-464.51323,-464.02323,-22.51,-22.76,-7.04,-7.03,-0.4315,0.62,0.11,-0.24,0.49,0.2035,-0.1,0.2035,Sn
2_Bi_1,7_Sn_62,-438.05173,-465.32454,-464.83454,-22.51,-22.76,-7.04,-7.03,-1.24281,0.62,0.11,-0.24,0.49,-0.60781,-0.1,-0.60781,Sn
3_Bi_2,1_La_23,-438.05173,-466.54635,-466.05635,-22.51,-22.76,-7.04,-7.03,-2.46462,0.62,0.11,-0.24,0.49,-1.82962,-0.1,-1.82962,La
3_Bi_2,2_La_28,-438.05173,-466.37768,-465.88768,-22.51,-22.76,-7.04,-7.03,-2.29595,0.62,0.11,-0.24,0.49,-1.66095,-0.1,-1.66095,La
3_Bi_2,3_La_33,-438.05173,-466.51232,-466.02232,-22.51,-22.76,-7.04,-7.03,-2.43059,0.62,0.11,-0.24,0.49,-1.79559,-0.1,-1.79559,La
3_Bi_2,4_La_38,-438.05173,-466.39336,-465.90336,-22.51,-22.76,-7.04,-7.03,-2.31163,0.62,0.11,-0.24,0.49,-1.67663,-0.1,-1.67663,La
3_Bi_2,5_Sn_60,-438.05173,-466.33996,-465.84996,-22.51,-22.76,-7.04,-7.03,-2.25823,0.62,0.11,-0.24,0.49,-1.62323,-0.1,-1.62323,La
4_Bi_3,1_Bi_7,-438.05173,-466.71299,-466.22299,-22.51,-22.76,-7.04,-7.03,-2.63126,0.62,0.11,-0.24,0.49,-1.99626,-0.1,-1.99626,La
4_Bi_3,2_La_42,-438.05173,-465.58069,-465.09069,-22.51,-22.76,-7.04,-7.03,-1.49896,0.62,0.11,-0.24,0.49,-0.86396,-0.1,-0.86396,La
4_Bi_3,3_Sn_52,-438.05173,-464.46434,-463.97434,-22.51,-22.76,-7.04,-7.03,-0.38261,0.62,0.11,-0.24,0.49,0.25239,-0.1,0.25239,Sn
4_Bi_3,4_Sn_57,-438.05173,-464.53666,-464.04666,-22.51,-22.76,-7.04,-7.03,-0.45493,0.62,0.11,-0.24,0.49,0.18007,-0.1,0.18007,Sn
5_Bi_5,1_La_22,-438.05173,-466.15961,-465.66961,-22.51,-22.76,-7.04,-7.03,-2.07788,0.62,0.11,-0.24,0.49,-1.44288,-0.1,-1.44288,La
5_Bi_5,2_Sn_52,-438.05173,-466.77285,-466.28285,-22.51,-22.76,-7.04,-7.03,-2.69112,0.62,0.11,-0.24,0.49,-2.05612,-0.1,-2.05612,La
5_Bi_5,3_Sn_59,-438.05173,-466.85501,-466.36501,-22.51,-22.76,-7.04,-7.03,-2.77328,0.62,0.11,-0.24,0.49,-2.13828,-0.1,-2.13828,La
