POSCAR,Slab,ECOOH*,GCOOH*,E_CO2,G_CO2,EH2,G_H2,deta_E_COOH,ZPE_COOH,Cp_COOH,Ts_COOH,Correction_COOH*,deta_G_COOH,sol,final,Nearest_Atom
1_Sn_40,-465.24078,-491.50441,-490.97441,-22.51,-22.76,-7.04,-7.03,-0.23363,0.62,0.1,-0.19,0.53,0.29137,-0.25,0.29137,Sn
2_Sn_41,-465.24078,-491.2535,-490.7235,-22.51,-22.76,-7.04,-7.03,0.01728,0.62,0.1,-0.19,0.53,0.54228,-0.25,0.54228,Sn
3_Sn_43,-465.24078,-491.02669,-490.49669,-22.51,-22.76,-7.04,-7.03,0.24409,0.62,0.1,-0.19,0.53,0.76909,-0.25,0.76909,Sn
4_Sn_44,-465.24078,-491.60139,-491.07139,-22.51,-22.76,-7.04,-7.03,-0.33061,0.62,0.1,-0.19,0.53,0.19439,-0.25,0.19439,Sn
5_Sn_45,-465.24078,-490.79874,-490.26874,-22.51,-22.76,-7.04,-7.03,0.47204,0.62,0.1,-0.19,0.53,0.99704,-0.25,0.99704,Sn
6_Sn_47,-465.24078,-491.0073,-490.4773,-22.51,-22.76,-7.04,-7.03,0.26348,0.62,0.1,-0.19,0.53,0.78848,-0.25,0.78848,Sn
7_Sn_48,-465.24078,-490.90051,-490.37051,-22.51,-22.76,-7.04,-7.03,0.37027,0.62,0.1,-0.19,0.53,0.89527,-0.25,0.89527,Sn
8_Sn_50,-465.24078,-491.63865,-491.10865,-22.51,-22.76,-7.04,-7.03,-0.36787,0.62,0.1,-0.19,0.53,0.15713,-0.25,0.15713,La
9_Sn_51,-465.24078,-490.96229,-490.43229,-22.51,-22.76,-7.04,-7.03,0.30849,0.62,0.1,-0.19,0.53,0.83349,-0.25,0.83349,Sn
10_Sn_52,-465.24078,-490.84509,-490.31509,-22.51,-22.76,-7.04,-7.03,0.42569,0.62,0.1,-0.19,0.53,0.95069,-0.25,0.95069,Sn
11_Sn_53,-465.24078,-491.25805,-490.72805,-22.51,-22.76,-7.04,-7.03,0.01273,0.62,0.1,-0.19,0.53,0.53773,-0.25,0.53773,Sn
12_Bi_54,-465.24078,-490.62598,-490.09598,-22.51,-22.76,-7.04,-7.03,0.6448,0.62,0.1,-0.19,0.53,1.1698,-0.25,1.1698,Bi
14_Bi_56,-465.24078,-490.35015,-489.82015,-22.51,-22.76,-7.04,-7.03,0.92063,0.62,0.1,-0.19,0.53,1.44563,-0.25,1.44563,Bi
15_Bi_57,-465.24078,-491.22945,-490.69945,-22.51,-22.76,-7.04,-7.03,0.04133,0.62,0.1,-0.19,0.53,0.56633,-0.25,0.56633,Bi
16_Bi_58,-465.24078,-490.44707,-489.91707,-22.51,-22.76,-7.04,-7.03,0.82371,0.62,0.1,-0.19,0.53,1.34871,-0.25,1.34871,Bi
17_Bi_59,-465.24078,-491.50397,-490.97397,-22.51,-22.76,-7.04,-7.03,-0.23319,0.62,0.1,-0.19,0.53,0.29181,-0.25,0.29181,La
18_Bi_60,-465.24078,-491.02295,-490.49295,-22.51,-22.76,-7.04,-7.03,0.24783,0.62,0.1,-0.19,0.53,0.77283,-0.25,0.77283,Bi
19_Bi_61,-465.24078,-493.12432,-492.59432,-22.51,-22.76,-7.04,-7.03,-1.85354,0.62,0.1,-0.19,0.53,-1.32854,-0.25,-1.32854,Ni
20_Bi_62,-465.24078,-490.53165,-490.00165,-22.51,-22.76,-7.04,-7.03,0.73913,0.62,0.1,-0.19,0.53,1.26413,-0.25,1.26413,Bi
21_Bi_63,-465.24078,-491.21024,-490.68024,-22.51,-22.76,-7.04,-7.03,0.06054,0.62,0.1,-0.19,0.53,0.58554,-0.25,0.58554,Bi
22_Bi_64,-465.24078,-491.07469,-490.54469,-22.51,-22.76,-7.04,-7.03,0.19609,0.62,0.1,-0.19,0.53,0.72109,-0.25,0.72109,Bi
24_Bi_66,-465.24078,-490.11029,-489.58029,-22.51,-22.76,-7.04,-7.03,1.16049,0.62,0.1,-0.19,0.53,1.68549,-0.25,1.68549,Bi
25_Bi_67,-465.24078,-490.89461,-490.36461,-22.51,-22.76,-7.04,-7.03,0.37617,0.62,0.1,-0.19,0.53,0.90117,-0.25,0.90117,Bi
10_Ni_38,-465.24078,-492.0344,-491.5044,-22.51,-22.76,-7.04,-7.03,-0.76362,0.62,0.1,-0.19,0.53,-0.23862,-0.25,-0.23862,Ni
15_Co_22,-465.24078,-492.77064,-492.24064,-22.51,-22.76,-7.04,-7.03,-1.49986,0.62,0.1,-0.19,0.53,-0.97486,-0.25,-0.97486,Co
16_Co_24,-465.24078,-492.48866,-491.95866,-22.51,-22.76,-7.04,-7.03,-1.21788,0.62,0.1,-0.19,0.53,-0.69288,-0.25,-0.69288,Co
1_La_0,-465.24078,-491.60916,-491.07916,-22.51,-22.76,-7.04,-7.03,-0.33838,0.62,0.1,-0.19,0.53,0.18662,-0.25,0.18662,La
