O1_adsorb_site,O2_adsorb_site,slab,E_OCHO*,G_OCHO*,E_CO2,G_CO2,EH2,G_H2,deta_E_OCHO*,ZPE_OCHO,CpOCHO,TsOCHO,Correction_COOH*,deta_G_OCHO,sol,final,Nearest_Atom
1_La_0,1_Bi_54,-465.24078,-493.10188,-492.61188,-22.51,-22.76,-7.04,-7.03,-1.8311,0.62,0.11,-0.24,0.49,-1.1961,-0.1,-1.1961,La
1_La_0,2_Bi_63,-465.24078,-492.71159,-492.22159,-22.51,-22.76,-7.04,-7.03,-1.44081,0.62,0.11,-0.24,0.49,-0.80581,-0.1,-0.80581,La
1_La_0,3_La_4,-465.24078,-493.15467,-492.66467,-22.51,-22.76,-7.04,-7.03,-1.88389,0.62,0.11,-0.24,0.49,-1.24889,-0.1,-1.24889,La
1_La_0,4_Sn_45,-465.24078,-493.1907,-492.7007,-22.51,-22.76,-7.04,-7.03,-1.91992,0.62,0.11,-0.24,0.49,-1.28492,-0.1,-1.28492,La
1_La_0,5_Sn_43,-465.24078,-492.20633,-491.71633,-22.51,-22.76,-7.04,-7.03,-0.93555,0.62,0.11,-0.24,0.49,-0.30055,-0.1,-0.30055,La
1_La_0,6_La_6,-465.24078,-492.76751,-492.27751,-22.51,-22.76,-7.04,-7.03,-1.49673,0.62,0.11,-0.24,0.49,-0.86173,-0.1,-0.86173,La
1_La_0,7_Sn_53,-465.24078,-492.20444,-491.71444,-22.51,-22.76,-7.04,-7.03,-0.93366,0.62,0.11,-0.24,0.49,-0.29866,-0.1,-0.29866,La
2_La_1,1_Bi_63,-465.24078,-493.21047,-492.72047,-22.51,-22.76,-7.04,-7.03,-1.93969,0.62,0.11,-0.24,0.49,-1.30469,-0.1,-1.30469,La
2_La_1,2_Bi_65,-465.24078,-492.79602,-492.30602,-22.51,-22.76,-7.04,-7.03,-1.52524,0.62,0.11,-0.24,0.49,-0.89024,-0.1,-0.89024,La
2_La_1,3_Sn_50,-465.24078,-492.70873,-492.21873,-22.51,-22.76,-7.04,-7.03,-1.43795,0.62,0.11,-0.24,0.49,-0.80295,-0.1,-0.80295,La
3_La_2,1_Bi_62,-465.24078,-493.81043,-493.32043,-22.51,-22.76,-7.04,-7.03,-2.53965,0.62,0.11,-0.24,0.49,-1.90465,-0.1,-1.90465,La
3_La_2,2_Ni_39,-465.24078,-493.78323,-493.29323,-22.51,-22.76,-7.04,-7.03,-2.51245,0.62,0.11,-0.24,0.49,-1.87745,-0.1,-1.87745,La
3_La_2,3_Bi_67,-465.24078,-493.79092,-493.30092,-22.51,-22.76,-7.04,-7.03,-2.52014,0.62,0.11,-0.24,0.49,-1.88514,-0.1,-1.88514,La
3_La_2,4_La_4,-465.24078,-493.77334,-493.28334,-22.51,-22.76,-7.04,-7.03,-2.50256,0.62,0.11,-0.24,0.49,-1.86756,-0.1,-1.86756,La
3_La_2,5_Sn_45,-465.24078,-493.72541,-493.23541,-22.51,-22.76,-7.04,-7.03,-2.45463,0.62,0.11,-0.24,0.49,-1.81963,-0.1,-1.81963,La
3_La_2,6_Bi_65,-465.24078,-493.81244,-493.32244,-22.51,-22.76,-7.04,-7.03,-2.54166,0.62,0.11,-0.24,0.49,-1.90666,-0.1,-1.90666,La
3_La_2,7_La_7,-465.24078,-493.51862,-493.02862,-22.51,-22.76,-7.04,-7.03,-2.24784,0.62,0.11,-0.24,0.49,-1.61284,-0.1,-1.61284,La
4_La_3,1_Sn_48,-465.24078,-492.34679,-491.85679,-22.51,-22.76,-7.04,-7.03,-1.07601,0.62,0.11,-0.24,0.49,-0.44101,-0.1,-0.44101,La
4_La_3,2_Sn_44,-465.24078,-492.38536,-491.89536,-22.51,-22.76,-7.04,-7.03,-1.11458,0.62,0.11,-0.24,0.49,-0.47958,-0.1,-0.47958,La
4_La_3,3_Sn_40,-465.24078,-492.34228,-491.85228,-22.51,-22.76,-7.04,-7.03,-1.0715,0.62,0.11,-0.24,0.49,-0.4365,-0.1,-0.4365,La
4_La_3,4_Sn_51,-465.24078,-492.60975,-492.11975,-22.51,-22.76,-7.04,-7.03,-1.33897,0.62,0.11,-0.24,0.49,-0.70397,-0.1,-0.70397,La
4_La_3,6_Bi_66,-465.24078,-492.2759,-491.7859,-22.51,-22.76,-7.04,-7.03,-1.00512,0.62,0.11,-0.24,0.49,-0.37012,-0.1,-0.37012,La
5_La_4,1_Bi_61,-465.24078,-493.69705,-493.20705,-22.51,-22.76,-7.04,-7.03,-2.42627,0.62,0.11,-0.24,0.49,-1.79127,-0.1,-1.79127,La
5_La_4,2_Co_22,-465.24078,-493.16809,-492.67809,-22.51,-22.76,-7.04,-7.03,-1.89731,0.62,0.11,-0.24,0.49,-1.26231,-0.1,-1.26231,Co
5_La_4,4_Ni_39,-465.24078,-493.67522,-493.18522,-22.51,-22.76,-7.04,-7.03,-2.40444,0.62,0.11,-0.24,0.49,-1.76944,-0.1,-1.76944,La
5_La_4,5_Bi_54,-465.24078,-493.16173,-492.67173,-22.51,-22.76,-7.04,-7.03,-1.89095,0.62,0.11,-0.24,0.49,-1.25595,-0.1,-1.25595,Co
5_La_4,6_Sn_45,-465.24078,-493.79625,-493.30625,-22.51,-22.76,-7.04,-7.03,-2.52547,0.62,0.11,-0.24,0.49,-1.89047,-0.1,-1.89047,La
6_La_5,1_La_8,-465.24078,-493.62388,-493.13388,-22.51,-22.76,-7.04,-7.03,-2.3531,0.62,0.11,-0.24,0.49,-1.7181,-0.1,-1.7181,La
6_La_5,2_La_7,-465.24078,-494.07888,-493.58888,-22.51,-22.76,-7.04,-7.03,-2.8081,0.62,0.11,-0.24,0.49,-2.1731,-0.1,-2.1731,La
6_La_5,3_Sn_50,-465.24078,-494.08195,-493.59195,-22.51,-22.76,-7.04,-7.03,-2.81117,0.62,0.11,-0.24,0.49,-2.17617,-0.1,-2.17617,La
6_La_5,4_Bi_57,-465.24078,-493.60657,-493.11657,-22.51,-22.76,-7.04,-7.03,-2.33579,0.62,0.11,-0.24,0.49,-1.70079,-0.1,-1.70079,La
6_La_5,5_Bi_66,-465.24078,-492.68673,-492.19673,-22.51,-22.76,-7.04,-7.03,-1.41595,0.62,0.11,-0.24,0.49,-0.78095,-0.1,-0.78095,La
7_La_6,1_Co_24,-465.24078,-493.08896,-492.59896,-22.51,-22.76,-7.04,-7.03,-1.81818,0.62,0.11,-0.24,0.49,-1.18318,-0.1,-1.18318,Co
7_La_6,2_Bi_60,-465.24078,-492.73496,-492.24496,-22.51,-22.76,-7.04,-7.03,-1.46418,0.62,0.11,-0.24,0.49,-0.82918,-0.1,-0.82918,La
7_La_6,3_Bi_58,-465.24078,-492.43004,-491.94004,-22.51,-22.76,-7.04,-7.03,-1.15926,0.62,0.11,-0.24,0.49,-0.52426,-0.1,-0.52426,La
7_La_6,4_Bi_54,-465.24078,-492.48115,-491.99115,-22.51,-22.76,-7.04,-7.03,-1.21037,0.62,0.11,-0.24,0.49,-0.57537,-0.1,-0.57537,La
7_La_6,5_Sn_43,-465.24078,-492.64686,-492.15686,-22.51,-22.76,-7.04,-7.03,-1.37608,0.62,0.11,-0.24,0.49,-0.74108,-0.1,-0.74108,Sn
7_La_6,6_Sn_40,-465.24078,-492.49218,-492.00218,-22.51,-22.76,-7.04,-7.03,-1.2214,0.62,0.11,-0.24,0.49,-0.5864,-0.1,-0.5864,La
8_La_7,1_Bi_67,-465.24078,-494.09227,-493.60227,-22.51,-22.76,-7.04,-7.03,-2.82149,0.62,0.11,-0.24,0.49,-2.18649,-0.1,-2.18649,La
8_La_7,2_Sn_47,-465.24078,-494.08509,-493.59509,-22.51,-22.76,-7.04,-7.03,-2.81431,0.62,0.11,-0.24,0.49,-2.17931,-0.1,-2.17931,La
8_La_7,3_Bi_65,-465.24078,-492.88563,-492.39563,-22.51,-22.76,-7.04,-7.03,-1.61485,0.62,0.11,-0.24,0.49,-0.97985,-0.1,-0.97985,La
9_La_8,1_Sn_47,-465.24078,-492.80764,-492.31764,-22.51,-22.76,-7.04,-7.03,-1.53686,0.62,0.11,-0.24,0.49,-0.90186,-0.1,-0.90186,La
9_La_8,2_Bi_64,-465.24078,-492.91346,-492.42346,-22.51,-22.76,-7.04,-7.03,-1.64268,0.62,0.11,-0.24,0.49,-1.00768,-0.1,-1.00768,La
9_La_8,3_Bi_59,-465.24078,-492.93227,-492.44227,-22.51,-22.76,-7.04,-7.03,-1.66149,0.62,0.11,-0.24,0.49,-1.02649,-0.1,-1.02649,La
9_La_8,4_Bi_57,-465.24078,-493.6165,-493.1265,-22.51,-22.76,-7.04,-7.03,-2.34572,0.62,0.11,-0.24,0.49,-1.71072,-0.1,-1.71072,La
10_La_11,1_Bi_58,-465.24078,-492.53177,-492.04177,-22.51,-22.76,-7.04,-7.03,-1.26099,0.62,0.11,-0.24,0.49,-0.62599,-0.1,-0.62599,La
10_La_11,2_Ni_38,-465.24078,-492.9516,-492.4616,-22.51,-22.76,-7.04,-7.03,-1.68082,0.62,0.11,-0.24,0.49,-1.04582,-0.1,-1.04582,La
10_La_11,3_Sn_41,-465.24078,-492.68453,-492.19453,-22.51,-22.76,-7.04,-7.03,-1.41375,0.62,0.11,-0.24,0.49,-0.77875,-0.1,-0.77875,La
10_La_11,4_Sn_48,-465.24078,-492.92042,-492.43042,-22.51,-22.76,-7.04,-7.03,-1.64964,0.62,0.11,-0.24,0.49,-1.01464,-0.1,-1.01464,La
10_La_11,5_Bi_64,-465.24078,-492.65721,-492.16721,-22.51,-22.76,-7.04,-7.03,-1.38643,0.62,0.11,-0.24,0.49,-0.75143,-0.1,-0.75143,La
10_La_11,6_Bi_59,-465.24078,-492.95572,-492.46572,-22.51,-22.76,-7.04,-7.03,-1.68494,0.62,0.11,-0.24,0.49,-1.04994,-0.1,-1.04994,La
10_La_11,7_Sn_44,-465.24078,-492.58394,-492.09394,-22.51,-22.76,-7.04,-7.03,-1.31316,0.62,0.11,-0.24,0.49,-0.67816,-0.1,-0.67816,La
11_La_12,1_Bi_56,-465.24078,-492.64356,-492.15356,-22.51,-22.76,-7.04,-7.03,-1.37278,0.62,0.11,-0.24,0.49,-0.73778,-0.1,-0.73778,La
11_La_12,2_Bi_61,-465.24078,-492.93198,-492.44198,-22.51,-22.76,-7.04,-7.03,-1.6612,0.62,0.11,-0.24,0.49,-1.0262,-0.1,-1.0262,La
11_La_12,3_Sn_52,-465.24078,-492.54508,-492.05508,-22.51,-22.76,-7.04,-7.03,-1.2743,0.62,0.11,-0.24,0.49,-0.6393,-0.1,-0.6393,La
