POSCAR,Slab,ECOOH*,GCOOH*,E_CO2,G_CO2,EH2,G_H2,deta_E_COOH,ZPE_COOH,Cp_COOH,Ts_COOH,Correction_COOH*,deta_G_COOH*
10_Bi_56,-374.16975,-399.55028,-399.02028,-22.51 ,-22.76 ,-6.70 ,-7.03 ,0.64 ,0.62,0.1,-0.19,0.53,1.42447
1_Bi_53,-374.16975,-399.55558,-399.02558,-22.51 ,-22.76 ,-7.04 ,-7.03 ,0.64 ,0.62,0.1,-0.19,0.53,1.41917
2_Bi_9,-374.16975,-399.54966,-399.01966,-22.51 ,-22.76 ,-7.04 ,-7.03 ,0.65 ,0.62,0.1,-0.19,0.53,1.42509
3_Bi_1,-374.16975,-399.54195,-399.01195,-22.51 ,-22.76 ,-7.04 ,-7.03 ,0.65 ,0.62,0.1,-0.19,0.53,1.4328
4_Bi_61,-374.16975,-399.57633,-399.04633,-22.51 ,-22.76 ,-7.21 ,-7.03 ,0.62 ,0.62,0.1,-0.19,0.53,1.39842
5_Bi_23,-374.16975,-399.77236,-399.24236,-22.51 ,-22.76 ,-7.31 ,-7.03 ,0.42 ,0.62,0.1,-0.19,0.53,1.20239
6_Bi_18,-374.16975,-399.79692,-399.26692,-22.51 ,-22.76 ,-7.41 ,-7.03 ,0.40 ,0.62,0.1,-0.19,0.53,1.17783
7_Bi_16,-374.16975,-399.56308,-399.03308,-22.51 ,-22.76 ,-7.52 ,-7.03 ,0.63 ,0.62,0.1,-0.19,0.53,1.41167
8_Bi_10,-374.16975,-399.83643,-399.30643,-22.51 ,-22.76 ,-7.62 ,-7.03 ,0.36 ,0.62,0.1,-0.19,0.53,1.13832
9_Bi_8,-374.16975,-399.79687,-399.26687,-22.51 ,-22.76 ,-7.72 ,-7.03 ,0.40 ,0.62,0.1,-0.19,0.53,1.17788
1_Co_53,-474.99 ,-507.29 ,-506.75815,-22.51 ,-22.76 ,-7.82 ,-7.03 ,-6.27 ,0.62,0.1,-0.19,0.53,-5.49045
2_Co_9,-474.99 ,-500.97 ,-500.43512,-22.51 ,-22.76 ,-7.92 ,-7.03 ,0.05 ,0.62,0.1,-0.19,0.53,0.83258
3_Co_1,-474.99 ,-505.73 ,-505.19708,-22.51 ,-22.76 ,-8.03 ,-7.03 ,-4.71 ,0.62,0.1,-0.19,0.53,-3.92938
4_Co_61,-474.99 ,-503.72 ,-503.18818,-22.51 ,-22.76 ,-8.13 ,-7.03 ,-2.70 ,0.62,0.1,-0.19,0.53,-1.92048
5_Co_23,-474.99 ,-507.32 ,-506.79335,-22.51 ,-22.76 ,-8.23 ,-7.03 ,-6.31 ,0.62,0.1,-0.19,0.53,-5.52565
6_Co_18,-474.99 ,-508.14 ,-507.6133,-22.51 ,-22.76 ,-8.33 ,-7.03 ,-7.13 ,0.62,0.1,-0.19,0.53,-6.3456
7_Co_16,-474.99 ,-507.09 ,-506.56064,-22.51 ,-22.76 ,-8.43 ,-7.03 ,-6.07 ,0.62,0.1,-0.19,0.53,-5.29294
8_Co_10,-474.99 ,-502.14 ,-501.61325,-22.51 ,-22.76 ,-8.54 ,-7.03 ,-1.13 ,0.62,0.1,-0.19,0.53,-0.34555
9_Co_8,-474.99 ,-507.85 ,-507.31705,-22.51 ,-22.76 ,-8.64 ,-7.03 ,-6.83 ,0.62,0.1,-0.19,0.53,-6.04935
10_La_56,-495.99 ,-530.25 ,-529.72091,-22.51 ,-22.76 ,-8.74 ,-7.03 ,-8.24 ,0.62,0.1,-0.19,0.53,-7.45791
1_La_53,-495.99 ,-530.26 ,-529.72788,-22.51 ,-22.76 ,-8.84 ,-7.03 ,-8.24 ,0.62,0.1,-0.19,0.53,-7.46488
2_La_9,-495.99 ,-530.28 ,-529.75289,-22.51 ,-22.76 ,-8.94 ,-7.03 ,-8.27 ,0.62,0.1,-0.19,0.53,-7.48989
3_La_1,-495.99 ,-529.26 ,-528.73153,-22.51 ,-22.76 ,-9.05 ,-7.03 ,-7.25 ,0.62,0.1,-0.19,0.53,-6.46853
4_La_61,-495.99 ,-529.15 ,-528.62389,-22.51 ,-22.76 ,-9.15 ,-7.03 ,-7.14 ,0.62,0.1,-0.19,0.53,-6.36089
