O1_adsorb_site,O2_adsorb_site,slab,E_OCHO*,G_OCHO*,E_CO2,G_CO2,EH2,G_H2,deta_E_OCHO*,ZPE_OCHO,CpOCHO,TsOCHO,Correction_COOH*,deta_G_OCHO
10_Bi_51,1_Bi_21,-374.16975,-400.41569,-399.92569,-22.51,-22.76,-7.04,-7.03,-0.21594,0.62,0.11,-0.24,0.49,0.51906
1_Bi_35,1_Bi_51,-374.16975,-400.44309,-399.95309,-22.51,-22.76,-7.04,-7.03,-0.24334,0.62,0.11,-0.24,0.49,0.49166
2_Bi_42,1_Bi_63,-374.16975,-400.7413,-400.2513,-22.51,-22.76,-7.04,-7.03,-0.54155,0.62,0.11,-0.24,0.49,0.19345
3_Bi_52,1_Bi_62,-374.16975,-400.69088,-400.20088,-22.51,-22.76,-7.04,-7.03,-0.49113,0.62,0.11,-0.24,0.49,0.24387
4_Bi_33,1_Bi_55,-374.16975,-400.74136,-400.25136,-22.51,-22.76,-7.04,-7.03,-0.54161,0.62,0.11,-0.24,0.49,0.19339
5_Bi_66,1_Bi_5,-374.16975,-400.69325,-400.20325,-22.51,-22.76,-7.04,-7.03,-0.4935,0.62,0.11,-0.24,0.49,0.2415
6_Bi_47,1_Bi_65,-374.16975,-400.56435,-400.07435,-22.51,-22.76,-7.04,-7.03,-0.3646,0.62,0.11,-0.24,0.49,0.3704
7_Bi_14,1_Bi_36,-374.16975,-400.5842,-400.0942,-22.51,-22.76,-7.04,-7.03,-0.38445,0.62,0.11,-0.24,0.49,0.35055
8_Bi_40,1_Bi_64,-374.16975,-400.43743,-399.94743,-22.51,-22.76,-7.04,-7.03,-0.23768,0.62,0.11,-0.24,0.49,0.49732
9_Bi_9,1_Bi_54,-374.16975,-400.4268,-399.9368,-22.51,-22.76,-7.04,-7.03,-0.22705,0.62,0.11,-0.24,0.49,0.50795
10_Co_38,1_Co_67,-474.9927,-508.6298,-508.1398,-22.51,-22.76,-7.04,-7.03,-7.6071,0.62,0.11,-0.24,0.49,-6.8721
1_Co_60,1_Co_61,-474.9927,-505.95676,-505.46676,-22.51,-22.76,-7.04,-7.03,-4.93406,0.62,0.11,-0.24,0.49,-4.19906
2_Co_56,1_Co_57,-474.9927,-508.85627,-508.36627,-22.51,-22.76,-7.04,-7.03,-7.83357,0.62,0.11,-0.24,0.49,-7.09857
3_Co_21,1_Co_51,-474.9927,-507.8644,-507.3744,-22.51,-22.76,-7.04,-7.03,-6.8417,0.62,0.11,-0.24,0.49,-6.1067
4_Co_24,1_Co_25,-474.9927,-507.36477,-506.87477,-22.51,-22.76,-7.04,-7.03,-6.34207,0.62,0.11,-0.24,0.49,-5.60707
5_Co_34,1_Co_60,-474.9927,-506.61002,-506.12002,-22.51,-22.76,-7.04,-7.03,-5.58732,0.62,0.11,-0.24,0.49,-4.85232
6_Co_11,1_Co_63,-474.9927,-508.86908,-508.37908,-22.51,-22.76,-7.04,-7.03,-7.84638,0.62,0.11,-0.24,0.49,-7.11138
7_Co_63,1_Co_6,-474.9927,-509.01488,-508.52488,-22.51,-22.76,-7.04,-7.03,-7.99218,0.62,0.11,-0.24,0.49,-7.25718
8_Co_1,1_Co_67,-474.9927,-506.36187,-505.87187,-22.51,-22.76,-7.04,-7.03,-5.33917,0.62,0.11,-0.24,0.49,-4.60417
9_Co_8,1_Co_65,-474.9927,-509.00461,-508.51461,-22.51,-22.76,-7.04,-7.03,-7.98191,0.62,0.11,-0.24,0.49,-7.24691
10_La_67,1_La_2,-495.988,-529.95638,-529.46638,-22.51,-22.76,-7.04,-7.03,-7.93838,0.62,0.11,-0.24,0.49,-7.20338
1_La_64,1_La_65,-495.988,-532.38655,-531.89655,-22.51,-22.76,-7.04,-7.03,-10.36855,0.62,0.11,-0.24,0.49,-9.63355
2_La_44,1_La_60,-495.988,-532.86374,-532.37374,-22.51,-22.76,-7.04,-7.03,-10.84574,0.62,0.11,-0.24,0.49,-10.11074
