Nearest_Atom,material_id_b,n_matched_OCHO
Bi,CONTCAR-10_Bi_13,3
Bi,CONTCAR-12_Bi_16,1
Bi,CONTCAR-13_Bi_17,2
Bi,CONTCAR-15_Bi_19,3
Bi,CONTCAR-1_Bi_0,1
Bi,CONTCAR-2_Bi_1,2
Bi,CONTCAR-7_Bi_7,1
La,CONTCAR-18_La_22,5
La,CONTCAR-19_La_23,4
La,CONTCAR-20_La_24,2
La,CONTCAR-21_La_25,10
La,CONTCAR-24_La_30,1
La,CONTCAR-26_La_32,2
La,CONTCAR-27_La_33,1
La,CONTCAR-28_La_34,5
La,CONTCAR-29_La_35,10
La,CONTCAR-31_La_37,1
La,CONTCAR-33_La_39,3
La,CONTCAR-34_La_41,1
La,CONTCAR-35_La_42,1
La,CONTCAR-36_La_43,4
La,CONTCAR-37_La_44,6
La,CONTCAR-3_Bi_2,1
La,CONTCAR-5_Bi_5,10
La,CONTCAR-8_Bi_9,4
Sn,CONTCAR-39_Sn_48,6
Sn,CONTCAR-40_Sn_49,2
Sn,CONTCAR-41_Sn_50,6
Sn,CONTCAR-42_Sn_51,5
Sn,CONTCAR-43_Sn_52,4
Sn,CONTCAR-50_Sn_63,4
Sn,CONTCAR-53_Sn_67,3
