Nearest_Atom,material_id_b,n_matched_OCHO
Bi,CONTCAR-26_Bi_16,2
Bi,CONTCAR-28_Bi_21,3
Bi,CONTCAR-3_Bi_1,3
La,CONTCAR-10_Sn_54,1
La,CONTCAR-11_La_42,1
La,CONTCAR-14_La_34,5
La,CONTCAR-20_La_39,1
La,CONTCAR-22_Bi_3,3
La,CONTCAR-27_Bi_17,2
La,CONTCAR-29_La_23,4
La,CONTCAR-2_Bi_9,2
La,CONTCAR-30_La_24,2
La,CONTCAR-31_La_25,2
La,CONTCAR-32_La_28,1
La,CONTCAR-34_La_30,7
La,CONTCAR-36_La_32,2
La,CONTCAR-37_La_33,2
La,CONTCAR-39_La_36,2
La,CONTCAR-40_La_37,1
La,CONTCAR-42_La_41,1
La,CONTCAR-43_La_43,4
La,CONTCAR-44_La_44,6
La,CONTCAR-49_Sn_58,2
La,CONTCAR-5_La_22,5
La,CONTCAR-9_Bi_7,1
Sn,CONTCAR-16_Sn_64,2
Sn,CONTCAR-17_Sn_51,4
Sn,CONTCAR-1_Sn_50,6
Sn,CONTCAR-45_Sn_48,4
Sn,CONTCAR-46_Sn_49,2
Sn,CONTCAR-47_Sn_52,4
Sn,CONTCAR-50_Sn_62,2
Sn,CONTCAR-51_Sn_63,7
Sn,CONTCAR-53_Sn_67,1
