Nearest_Atom,material_id_a,adsorbate_type_a,material_id_b,adsorbate_type_b,similarity,delta_G_OCHO,delta_G_H
Bi,CONTCAR-26_Sn_52-3_Bi_60,OCHO,CONTCAR-12_Bi_54,H,0.016912286203963137,0.6048200000000082,0.8204699999999913
Bi,CONTCAR-26_Sn_52-3_Bi_60,OCHO,CONTCAR-16_Bi_58,H,0.2426417103053096,0.6048200000000082,1.048350000000019
Bi,CONTCAR-26_Sn_52-3_Bi_60,OCHO,CONTCAR-18_Bi_60,H,0.9966303619770182,0.6048200000000082,0.4623500000000059
Bi,CONTCAR-26_Sn_52-3_Bi_60,OCHO,CONTCAR-20_Bi_62,H,0.31361700908150797,0.6048200000000082,0.9065699999999789
Bi,CONTCAR-26_Sn_52-3_Bi_60,OCHO,CONTCAR-22_Bi_64,H,0.18943151294559962,0.6048200000000082,1.2558700000000071
Bi,CONTCAR-30_Bi_56-1_Bi_60,OCHO,CONTCAR-12_Bi_54,H,-0.0028955187092186982,0.3827199999999965,0.8204699999999913
Bi,CONTCAR-30_Bi_56-1_Bi_60,OCHO,CONTCAR-16_Bi_58,H,0.2147143364219098,0.3827199999999965,1.048350000000019
Bi,CONTCAR-30_Bi_56-1_Bi_60,OCHO,CONTCAR-18_Bi_60,H,1.0,0.3827199999999965,0.4623500000000059
Bi,CONTCAR-30_Bi_56-1_Bi_60,OCHO,CONTCAR-20_Bi_62,H,0.35825469068056925,0.3827199999999965,0.9065699999999789
Bi,CONTCAR-30_Bi_56-1_Bi_60,OCHO,CONTCAR-22_Bi_64,H,0.20795607706743033,0.3827199999999965,1.2558700000000071
Co,CONTCAR-13_Co_22-2_Sn_52,OCHO,CONTCAR-15_Co_22,H,0.9899589490523589,-0.3868000000000035,-0.40949000000001423
Co,CONTCAR-13_Co_22-2_Sn_52,OCHO,CONTCAR-16_Co_24,H,0.9245574936364565,-0.3868000000000035,-0.4704100000000243
Co,CONTCAR-13_Co_22-2_Sn_52,OCHO,CONTCAR-5_La_4,H,0.9899589490523589,-0.3868000000000035,-0.4019700000000147
Co,CONTCAR-13_Co_22-3_Co_24,OCHO,CONTCAR-15_Co_22,H,0.9589820448250584,-0.9097200000000026,-0.40949000000001423
Co,CONTCAR-13_Co_22-3_Co_24,OCHO,CONTCAR-16_Co_24,H,0.9760909842722533,-0.9097200000000026,-0.4704100000000243
Co,CONTCAR-13_Co_22-3_Co_24,OCHO,CONTCAR-5_La_4,H,0.9589820448250584,-0.9097200000000026,-0.4019700000000147
Co,CONTCAR-14_Co_24-2_Sn_52,OCHO,CONTCAR-15_Co_22,H,0.9569355583197865,-0.8535900000000066,-0.40949000000001423
Co,CONTCAR-14_Co_24-2_Sn_52,OCHO,CONTCAR-16_Co_24,H,0.9734118647579966,-0.8535900000000066,-0.4704100000000243
Co,CONTCAR-14_Co_24-2_Sn_52,OCHO,CONTCAR-5_La_4,H,0.9569355583197865,-0.8535900000000066,-0.4019700000000147
La,CONTCAR-10_La_11-1_Bi_58,OCHO,CONTCAR-11_Ni_39,H,0.2168728763578059,-0.6259900000000113,-0.6637900000000149
La,CONTCAR-10_La_11-1_Bi_58,OCHO,CONTCAR-12_La_11,H,0.7827905938273526,-0.6259900000000113,0.8754200000000111
La,CONTCAR-10_La_11-1_Bi_58,OCHO,CONTCAR-13_La_12,H,0.49912306516906385,-0.6259900000000113,0.894960000000017
La,CONTCAR-10_La_11-1_Bi_58,OCHO,CONTCAR-14_La_13,H,-0.2207965128008581,-0.6259900000000113,0.5593899999999986
La,CONTCAR-10_La_11-1_Bi_58,OCHO,CONTCAR-15_Bi_57,H,0.2130154825452127,-0.6259900000000113,0.3928500000000009
La,CONTCAR-10_La_11-1_Bi_58,OCHO,CONTCAR-17_Bi_59,H,0.7160410125253275,-0.6259900000000113,0.5203499999999986
La,CONTCAR-10_La_11-1_Bi_58,OCHO,CONTCAR-19_Bi_61,H,0.3036781732083398,-0.6259900000000113,0.36885999999997476
La,CONTCAR-10_La_11-1_Bi_58,OCHO,CONTCAR-1_La_0,H,0.4361057700398707,-0.6259900000000113,-0.07427000000002168
La,CONTCAR-10_La_11-1_Bi_58,OCHO,CONTCAR-1_Sn_40,H,0.5872600573703086,-0.6259900000000113,0.2044200000000184
La,CONTCAR-10_La_11-1_Bi_58,OCHO,CONTCAR-21_Bi_63,H,0.31702888331664136,-0.6259900000000113,0.5665599999999723
La,CONTCAR-10_La_11-1_Bi_58,OCHO,CONTCAR-23_Bi_65,H,0.579965641736307,-0.6259900000000113,0.631939999999977
La,CONTCAR-10_La_11-1_Bi_58,OCHO,CONTCAR-24_Bi_66,H,0.14267075229476592,-0.6259900000000113,0.43803000000001713
La,CONTCAR-10_La_11-1_Bi_58,OCHO,CONTCAR-25_Bi_67,H,0.04384588399324677,-0.6259900000000113,0.81641000000001
La,CONTCAR-10_La_11-1_Bi_58,OCHO,CONTCAR-2_La_1,H,0.7340065726731334,-0.6259900000000113,0.6606500000000234
La,CONTCAR-10_La_11-1_Bi_58,OCHO,CONTCAR-3_La_2,H,0.17024495988536162,-0.6259900000000113,-0.6646299999999973
La,CONTCAR-10_La_11-1_Bi_58,OCHO,CONTCAR-4_La_3,H,0.4432802758976371,-0.6259900000000113,0.2154300000000172
La,CONTCAR-10_La_11-1_Bi_58,OCHO,CONTCAR-4_Sn_44,H,0.9220947317783973,-0.6259900000000113,0.05142999999997311
La,CONTCAR-10_La_11-1_Bi_58,OCHO,CONTCAR-5_Sn_45,H,0.17024495988536162,-0.6259900000000113,-0.6629899999999883
La,CONTCAR-10_La_11-1_Bi_58,OCHO,CONTCAR-6_La_5,H,0.5808095368650705,-0.6259900000000113,-0.39776999999998885
La,CONTCAR-10_La_11-1_Bi_58,OCHO,CONTCAR-7_La_6,H,0.4834773560304201,-0.6259900000000113,0.0440199999999801
La,CONTCAR-10_La_11-1_Bi_58,OCHO,CONTCAR-9_La_8,H,0.2130154825452127,-0.6259900000000113,0.3906299999999784
La,CONTCAR-10_La_11-2_Ni_38,OCHO,CONTCAR-11_Ni_39,H,0.3777584363207487,-1.045820000000002,-0.6637900000000149
La,CONTCAR-10_La_11-2_Ni_38,OCHO,CONTCAR-12_La_11,H,0.9696394248621556,-1.045820000000002,0.8754200000000111
La,CONTCAR-10_La_11-2_Ni_38,OCHO,CONTCAR-13_La_12,H,0.6274286490271497,-1.045820000000002,0.894960000000017
La,CONTCAR-10_La_11-2_Ni_38,OCHO,CONTCAR-14_La_13,H,-0.06142698141717021,-1.045820000000002,0.5593899999999986
La,CONTCAR-10_La_11-2_Ni_38,OCHO,CONTCAR-15_Bi_57,H,0.25358209497208445,-1.045820000000002,0.3928500000000009
La,CONTCAR-10_La_11-2_Ni_38,OCHO,CONTCAR-17_Bi_59,H,0.8243814551372675,-1.045820000000002,0.5203499999999986
La,CONTCAR-10_La_11-2_Ni_38,OCHO,CONTCAR-19_Bi_61,H,0.4048755371324944,-1.045820000000002,0.36885999999997476
La,CONTCAR-10_La_11-2_Ni_38,OCHO,CONTCAR-1_La_0,H,0.4264052450590231,-1.045820000000002,-0.07427000000002168
La,CONTCAR-10_La_11-2_Ni_38,OCHO,CONTCAR-1_Sn_40,H,0.3330731963645717,-1.045820000000002,0.2044200000000184
La,CONTCAR-10_La_11-2_Ni_38,OCHO,CONTCAR-21_Bi_63,H,0.3167485504696758,-1.045820000000002,0.5665599999999723
La,CONTCAR-10_La_11-2_Ni_38,OCHO,CONTCAR-23_Bi_65,H,0.6130050147762177,-1.045820000000002,0.631939999999977
La,CONTCAR-10_La_11-2_Ni_38,OCHO,CONTCAR-24_Bi_66,H,0.1848923600731861,-1.045820000000002,0.43803000000001713
La,CONTCAR-10_La_11-2_Ni_38,OCHO,CONTCAR-25_Bi_67,H,0.11903464248690074,-1.045820000000002,0.81641000000001
La,CONTCAR-10_La_11-2_Ni_38,OCHO,CONTCAR-2_La_1,H,0.6849202805995895,-1.045820000000002,0.6606500000000234
La,CONTCAR-10_La_11-2_Ni_38,OCHO,CONTCAR-3_La_2,H,0.24518616333047574,-1.045820000000002,-0.6646299999999973
La,CONTCAR-10_La_11-2_Ni_38,OCHO,CONTCAR-4_La_3,H,0.30892170188723583,-1.045820000000002,0.2154300000000172
La,CONTCAR-10_La_11-2_Ni_38,OCHO,CONTCAR-4_Sn_44,H,0.7957545577628418,-1.045820000000002,0.05142999999997311
La,CONTCAR-10_La_11-2_Ni_38,OCHO,CONTCAR-5_Sn_45,H,0.24518616333047574,-1.045820000000002,-0.6629899999999883
La,CONTCAR-10_La_11-2_Ni_38,OCHO,CONTCAR-6_La_5,H,0.5811151725870551,-1.045820000000002,-0.39776999999998885
La,CONTCAR-10_La_11-2_Ni_38,OCHO,CONTCAR-7_La_6,H,0.35707480139472125,-1.045820000000002,0.0440199999999801
La,CONTCAR-10_La_11-2_Ni_38,OCHO,CONTCAR-9_La_8,H,0.25358209497208445,-1.045820000000002,0.3906299999999784
La,CONTCAR-10_La_11-3_Sn_41,OCHO,CONTCAR-11_Ni_39,H,0.3406450977827408,-0.7787500000000119,-0.6637900000000149
La,CONTCAR-10_La_11-3_Sn_41,OCHO,CONTCAR-12_La_11,H,0.9188970242966273,-0.7787500000000119,0.8754200000000111
La,CONTCAR-10_La_11-3_Sn_41,OCHO,CONTCAR-13_La_12,H,0.6311450080256299,-0.7787500000000119,0.894960000000017
La,CONTCAR-10_La_11-3_Sn_41,OCHO,CONTCAR-14_La_13,H,-0.08115971806658182,-0.7787500000000119,0.5593899999999986
La,CONTCAR-10_La_11-3_Sn_41,OCHO,CONTCAR-15_Bi_57,H,0.15461517225730778,-0.7787500000000119,0.3928500000000009
La,CONTCAR-10_La_11-3_Sn_41,OCHO,CONTCAR-17_Bi_59,H,0.7592100438255684,-0.7787500000000119,0.5203499999999986
La,CONTCAR-10_La_11-3_Sn_41,OCHO,CONTCAR-19_Bi_61,H,0.374473078773233,-0.7787500000000119,0.36885999999997476
La,CONTCAR-10_La_11-3_Sn_41,OCHO,CONTCAR-1_La_0,H,0.37784670364160894,-0.7787500000000119,-0.07427000000002168
