Nearest_Atom,material_id_b,n_matched_OCHO
Bi,CONTCAR-18_Bi_60,2
Co,CONTCAR-15_Co_22,3
Co,CONTCAR-16_Co_24,3
Co,CONTCAR-5_La_4,3
La,CONTCAR-11_Ni_39,5
La,CONTCAR-12_La_11,8
La,CONTCAR-13_La_12,1
La,CONTCAR-14_La_13,2
La,CONTCAR-15_Bi_57,1
La,CONTCAR-17_Bi_59,1
La,CONTCAR-19_Bi_61,6
La,CONTCAR-1_La_0,4
La,CONTCAR-1_Sn_40,2
La,CONTCAR-25_Bi_67,1
La,CONTCAR-2_La_1,2
La,CONTCAR-3_La_2,1
La,CONTCAR-4_Sn_44,5
La,CONTCAR-5_Sn_45,1
La,CONTCAR-6_La_5,4
La,CONTCAR-7_La_6,1
La,CONTCAR-9_La_8,1
Sn,CONTCAR-11_Sn_53,3
Sn,CONTCAR-14_Bi_56,2
Sn,CONTCAR-2_Sn_41,2
Sn,CONTCAR-8_Sn_50,1
Sn,CONTCAR-9_Sn_51,1
