Nearest_Atom,material_id_a,adsorbate_type_a,material_id_b,adsorbate_type_b,similarity,delta_G_OCHO,delta_G_H,flag_OCHO_vs_H
Bi,CONTCAR-26_Sn_52-3_Bi_60,OCHO,CONTCAR-18_Bi_60,H,0.9966303619770182,0.6048200000000082,0.4623500000000059,0.0
Bi,CONTCAR-30_Bi_56-1_Bi_60,OCHO,CONTCAR-18_Bi_60,H,1.0,0.3827199999999965,0.4623500000000059,1.0
Co,CONTCAR-13_Co_22-2_Sn_52,OCHO,CONTCAR-15_Co_22,H,0.9899589490523589,-0.3868000000000035,-0.40949000000001423,0.0
Co,CONTCAR-13_Co_22-2_Sn_52,OCHO,CONTCAR-16_Co_24,H,0.9245574936364565,-0.3868000000000035,-0.4704100000000243,0.0
Co,CONTCAR-13_Co_22-2_Sn_52,OCHO,CONTCAR-5_La_4,H,0.9899589490523589,-0.3868000000000035,-0.4019700000000147,0.0
Co,CONTCAR-13_Co_22-3_Co_24,OCHO,CONTCAR-15_Co_22,H,0.9589820448250584,-0.9097200000000026,-0.40949000000001423,1.0
Co,CONTCAR-13_Co_22-3_Co_24,OCHO,CONTCAR-16_Co_24,H,0.9760909842722533,-0.9097200000000026,-0.4704100000000243,1.0
Co,CONTCAR-13_Co_22-3_Co_24,OCHO,CONTCAR-5_La_4,H,0.9589820448250584,-0.9097200000000026,-0.4019700000000147,1.0
Co,CONTCAR-14_Co_24-2_Sn_52,OCHO,CONTCAR-15_Co_22,H,0.9569355583197865,-0.8535900000000066,-0.40949000000001423,1.0
Co,CONTCAR-14_Co_24-2_Sn_52,OCHO,CONTCAR-16_Co_24,H,0.9734118647579966,-0.8535900000000066,-0.4704100000000243,1.0
Co,CONTCAR-14_Co_24-2_Sn_52,OCHO,CONTCAR-5_La_4,H,0.9569355583197865,-0.8535900000000066,-0.4019700000000147,1.0
La,CONTCAR-10_La_11-1_Bi_58,OCHO,CONTCAR-4_Sn_44,H,0.9220947317783973,-0.6259900000000113,0.05142999999997311,1.0
La,CONTCAR-10_La_11-2_Ni_38,OCHO,CONTCAR-12_La_11,H,0.9696394248621556,-1.045820000000002,0.8754200000000111,1.0
La,CONTCAR-10_La_11-3_Sn_41,OCHO,CONTCAR-12_La_11,H,0.9188970242966273,-0.7787500000000119,0.8754200000000111,1.0
La,CONTCAR-10_La_11-4_Sn_48,OCHO,CONTCAR-4_Sn_44,H,0.9624960447034674,-1.014639999999996,0.05142999999997311,1.0
La,CONTCAR-10_La_11-5_Bi_64,OCHO,CONTCAR-12_La_11,H,0.9777993243617363,-0.7514300000000372,0.8754200000000111,1.0
La,CONTCAR-10_La_11-6_Bi_59,OCHO,CONTCAR-12_La_11,H,0.9502431989359278,-1.049940000000002,0.8754200000000111,1.0
La,CONTCAR-10_La_11-6_Bi_59,OCHO,CONTCAR-17_Bi_59,H,0.9363493380287009,-1.049940000000002,0.5203499999999986,1.0
La,CONTCAR-10_La_11-7_Sn_44,OCHO,CONTCAR-4_Sn_44,H,0.9442992627452625,-0.6781600000000009,0.05142999999997311,1.0
La,CONTCAR-11_La_12-1_Bi_56,OCHO,CONTCAR-19_Bi_61,H,0.9072585660520462,-0.7377799999999962,0.36885999999997476,1.0
La,CONTCAR-11_La_12-2_Bi_61,OCHO,CONTCAR-19_Bi_61,H,0.9043345390923773,-1.026200000000027,0.36885999999997476,1.0
La,CONTCAR-11_La_12-3_Sn_52,OCHO,CONTCAR-19_Bi_61,H,0.9561195772386062,-0.6393000000000012,0.36885999999997476,1.0
La,CONTCAR-11_La_12-5_Bi_62,OCHO,CONTCAR-13_La_12,H,0.9316639618046666,-1.053470000000014,0.894960000000017,1.0
La,CONTCAR-12_La_13-3_Bi_55,OCHO,CONTCAR-14_La_13,H,0.9214482970754265,-0.6831200000000405,0.5593899999999986,1.0
La,CONTCAR-12_La_13-4_Sn_47,OCHO,CONTCAR-25_Bi_67,H,0.9626917692392158,-0.7025400000000087,0.81641000000001,1.0
La,CONTCAR-12_La_13-5_Bi_64,OCHO,CONTCAR-14_La_13,H,0.9478808830243775,-0.7660300000000103,0.5593899999999986,1.0
La,CONTCAR-15_Ni_38-1_Bi_56,OCHO,CONTCAR-12_La_11,H,0.9158073390541623,-0.5039699999999908,0.8754200000000111,1.0
