elem,material_id_a,adsorbate_type_a,material_id_b,adsorbate_type_b,similarity,delta_G_OCHO,delta_G_COOH,selectivity_flag
Bi,CONTCAR-6_Bi_47-1_Bi_65,OCHO,CONTCAR-2_Bi_9,COOH,0.9116221685889097,0.2704000000000423,1.175089999999979,1.0
Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-7_Bi_16,COOH,0.9279863948278152,0.2505500000000228,1.1616699999999827,1.0
Bi,CONTCAR-9_Bi_9-1_Bi_54,OCHO,CONTCAR-2_Bi_9,COOH,0.949576427471317,0.40795000000001835,1.175089999999979,1.0
Co,CONTCAR-1_Co_60-1_Co_61,OCHO,CONTCAR-4_Co_61,COOH,0.9031855476952076,-4.299059999999949,-2.17048000000003,1.0
Co,CONTCAR-8_Co_1-1_Co_67,OCHO,CONTCAR-3_Co_1,COOH,0.9154536497077828,-4.704169999999985,-4.1793800000000125,1.0
La,CONTCAR-4_La_56-1_La_57,OCHO,CONTCAR-10_La_56,COOH,0.9786705474356429,-9.37081999999999,-7.707910000000002,1.0
La,CONTCAR-7_La_36-1_La_58,OCHO,CONTCAR-7_La_16,COOH,0.9008305809064122,-9.865789999999956,-6.6084300000000304,1.0
La,CONTCAR-8_La_16-1_La_58,OCHO,CONTCAR-7_La_16,COOH,0.9398987983297671,-9.144360000000015,-6.6084300000000304,1.0
Ni,CONTCAR-1_Ni_53-1_Ni_61,OCHO,CONTCAR-1_Ni_53,COOH,0.9696481013063978,-5.264629999999963,-4.074739999999995,1.0
Ni,CONTCAR-1_Ni_53-1_Ni_61,OCHO,CONTCAR-4_Ni_61,COOH,0.9778347164672588,-5.264629999999963,-4.59082000000004,1.0
Ni,CONTCAR-6_Ni_23-1_Ni_39,OCHO,CONTCAR-5_Ni_23,COOH,0.9838137901843135,-2.2145400000000093,-4.349700000000016,0.0
Ni,CONTCAR-9_Ni_9-1_Ni_18,OCHO,CONTCAR-2_Ni_9,COOH,0.9589755546675218,-5.25633,-3.4671000000000487,1.0
Ni,CONTCAR-9_Ni_9-1_Ni_18,OCHO,CONTCAR-6_Ni_18,COOH,0.9067111748882355,-5.25633,-4.801440000000046,1.0
Sn,CONTCAR-4_Sn_10-1_Sn_12,OCHO,CONTCAR-8_Sn_10,COOH,0.976006925276058,0.30933000000003574,0.9679199999999599,1.0
Sn,CONTCAR-9_Sn_16-1_Sn_58,OCHO,CONTCAR-7_Sn_16,COOH,0.9717672964464067,0.3098199999999923,1.0907499999999817,1.0
