name,energy
156.optdone,-318.18231201171875
684.optdone,-318.1794738769531
498.optdone,-318.0223083496094
1344.optdone,-318.0152282714844
1255.optdone,-317.6930236816406
838.optdone,-317.66748046875
79.optdone,-317.61578369140625
1117.optdone,-317.6121520996094
582.optdone,-317.5384521484375
418.optdone,-317.51959228515625
1128.optdone,-317.4318542480469
1243.optdone,-317.38262939453125
1021.optdone,-317.36370849609375
948.optdone,-317.3537902832031
997.optdone,-317.3021240234375
882.optdone,-317.2215270996094
26.optdone,-317.1692199707031
1328.optdone,-317.1623229980469
28.optdone,-317.0904235839844
1143.optdone,-317.048095703125
282.optdone,-317.0260314941406
1253.optdone,-316.9644470214844
1145.optdone,-316.9127502441406
663.optdone,-316.91046142578125
487.optdone,-316.9045104980469
1489.optdone,-316.89654541015625
358.optdone,-316.8913269042969
1233.optdone,-316.85223388671875
998.optdone,-316.8402099609375
317.optdone,-316.802734375
896.optdone,-316.75970458984375
716.optdone,-316.74298095703125
39.optdone,-316.7177734375
492.optdone,-316.7086486816406
866.optdone,-316.69921875
622.optdone,-316.68060302734375
70.optdone,-316.6746826171875
670.optdone,-316.6471252441406
19.optdone,-316.62408447265625
752.optdone,-316.6207580566406
17.optdone,-316.5999450683594
1383.optdone,-316.5994873046875
731.optdone,-316.5801696777344
1106.optdone,-316.5722351074219
775.optdone,-316.55859375
861.optdone,-316.5564880371094
841.optdone,-316.5474853515625
1097.optdone,-316.53863525390625
1135.optdone,-316.5328063964844
918.optdone,-316.51666259765625
1333.optdone,-316.5131530761719
1434.optdone,-316.51153564453125
246.optdone,-316.4853210449219
36.optdone,-316.4612731933594
751.optdone,-316.4405517578125
1229.optdone,-316.43896484375
675.optdone,-316.42230224609375
796.optdone,-316.39971923828125
354.optdone,-316.399658203125
1104.optdone,-316.39361572265625
20.optdone,-316.3829040527344
880.optdone,-316.36724853515625
819.optdone,-316.3219299316406
942.optdone,-316.3157958984375
164.optdone,-316.3056335449219
1251.optdone,-316.2962341308594
240.optdone,-316.29443359375
556.optdone,-316.28863525390625
972.optdone,-316.2879943847656
1414.optdone,-316.2587890625
1339.optdone,-316.2440185546875
726.optdone,-316.2393798828125
564.optdone,-316.23272705078125
215.optdone,-316.21502685546875
302.optdone,-316.2086181640625
1372.optdone,-316.2060546875
1085.optdone,-316.2049865722656
609.optdone,-316.2046203613281
668.optdone,-316.188720703125
66.optdone,-316.1846008300781
1290.optdone,-316.1772766113281
835.optdone,-316.17303466796875
91.optdone,-316.1534423828125
1349.optdone,-316.14312744140625
1067.optdone,-316.1418762207031
248.optdone,-316.13592529296875
196.optdone,-316.1184387207031
694.optdone,-316.1150817871094
1347.optdone,-316.1044616699219
1441.optdone,-316.0800476074219
307.optdone,-316.06854248046875
439.optdone,-316.0684814453125
424.optdone,-316.0559997558594
1017.optdone,-316.0085754394531
509.optdone,-316.00445556640625
1407.optdone,-315.9999694824219
1035.optdone,-315.98724365234375
988.optdone,-315.97406005859375
1169.optdone,-315.9659729003906
1465.optdone,-315.94775390625
102.optdone,-315.9278259277344
1062.optdone,-315.9272766113281
261.optdone,-315.9224853515625
44.optdone,-315.9122009277344
1156.optdone,-315.9094543457031
255.optdone,-315.89544677734375
150.optdone,-315.89434814453125
776.optdone,-315.88299560546875
117.optdone,-315.8761901855469
984.optdone,-315.86407470703125
297.optdone,-315.8493347167969
1256.optdone,-315.8357849121094
921.optdone,-315.8297424316406
381.optdone,-315.8237609863281
1386.optdone,-315.8128662109375
507.optdone,-315.8017883300781
391.optdone,-315.799560546875
86.optdone,-315.798828125
65.optdone,-315.7959289550781
757.optdone,-315.7812194824219
1378.optdone,-315.7774963378906
1466.optdone,-315.7630615234375
324.optdone,-315.7546691894531
947.optdone,-315.7533264160156
1413.optdone,-315.74884033203125
1105.optdone,-315.739013671875
1147.optdone,-315.7364501953125
81.optdone,-315.7237854003906
985.optdone,-315.7212219238281
490.optdone,-315.718017578125
1427.optdone,-315.70367431640625
676.optdone,-315.7025451660156
1252.optdone,-315.6966857910156
876.optdone,-315.6944274902344
1266.optdone,-315.69317626953125
852.optdone,-315.6755676269531
482.optdone,-315.66156005859375
1382.optdone,-315.65936279296875
919.optdone,-315.6567687988281
