name,energy
1211.optdone,-356.3652038574219
849.optdone,-355.55377197265625
142.optdone,-355.553466796875
1243.optdone,-354.97515869140625
750.optdone,-354.87872314453125
1498.optdone,-354.615234375
1049.optdone,-354.608642578125
1169.optdone,-354.49334716796875
894.optdone,-354.3905944824219
1377.optdone,-354.3856201171875
788.optdone,-354.28851318359375
821.optdone,-354.2747497558594
202.optdone,-354.1820983886719
1060.optdone,-354.1597595214844
1021.optdone,-354.08367919921875
438.optdone,-354.06646728515625
652.optdone,-354.0350036621094
298.optdone,-353.9969482421875
446.optdone,-353.969482421875
1321.optdone,-353.9617004394531
1096.optdone,-353.9095764160156
801.optdone,-353.8645324707031
1384.optdone,-353.8545227050781
845.optdone,-353.83868408203125
859.optdone,-353.8112487792969
311.optdone,-353.79071044921875
602.optdone,-353.7703857421875
34.optdone,-353.69989013671875
740.optdone,-353.6900329589844
681.optdone,-353.6802978515625
752.optdone,-353.66375732421875
250.optdone,-353.6584777832031
926.optdone,-353.59991455078125
90.optdone,-353.5927734375
560.optdone,-353.5712890625
582.optdone,-353.5500183105469
711.optdone,-353.5397033691406
1041.optdone,-353.46417236328125
581.optdone,-353.4601745605469
899.optdone,-353.4579772949219
269.optdone,-353.4228210449219
246.optdone,-353.4001770019531
563.optdone,-353.39801025390625
553.optdone,-353.3694763183594
1171.optdone,-353.31439208984375
291.optdone,-353.2462158203125
532.optdone,-353.2266540527344
21.optdone,-353.16949462890625
1294.optdone,-353.12115478515625
351.optdone,-353.10565185546875
852.optdone,-353.10125732421875
1418.optdone,-353.1006164550781
656.optdone,-353.0829772949219
572.optdone,-353.0384826660156
651.optdone,-353.0364990234375
1488.optdone,-353.0252685546875
649.optdone,-353.024658203125
1230.optdone,-353.0238952636719
608.optdone,-352.980712890625
275.optdone,-352.9774475097656
192.optdone,-352.9434509277344
607.optdone,-352.8747253417969
85.optdone,-352.8618469238281
483.optdone,-352.85040283203125
347.optdone,-352.8472900390625
988.optdone,-352.8415222167969
323.optdone,-352.8294982910156
1404.optdone,-352.8291015625
500.optdone,-352.81768798828125
6.optdone,-352.7838134765625
737.optdone,-352.7456970214844
866.optdone,-352.7431945800781
1249.optdone,-352.7322082519531
782.optdone,-352.72406005859375
1436.optdone,-352.7019348144531
712.optdone,-352.6859130859375
316.optdone,-352.675537109375
195.optdone,-352.67144775390625
168.optdone,-352.6590576171875
1191.optdone,-352.6404113769531
858.optdone,-352.6346130371094
173.optdone,-352.6260986328125
1110.optdone,-352.60833740234375
1151.optdone,-352.60101318359375
1345.optdone,-352.5574951171875
1282.optdone,-352.55743408203125
1144.optdone,-352.5547790527344
517.optdone,-352.5341491699219
982.optdone,-352.52117919921875
634.optdone,-352.5118408203125
537.optdone,-352.4967346191406
1037.optdone,-352.4930725097656
1146.optdone,-352.4910583496094
152.optdone,-352.4792175292969
793.optdone,-352.4750061035156
14.optdone,-352.47088623046875
372.optdone,-352.46820068359375
1281.optdone,-352.4644775390625
1181.optdone,-352.4277648925781
1005.optdone,-352.4237365722656
722.optdone,-352.4179382324219
1242.optdone,-352.417724609375
400.optdone,-352.4100646972656
748.optdone,-352.4095458984375
362.optdone,-352.4085388183594
1359.optdone,-352.3990783691406
56.optdone,-352.3932189941406
1118.optdone,-352.3901062011719
730.optdone,-352.3759460449219
1254.optdone,-352.3749084472656
1297.optdone,-352.3738098144531
601.optdone,-352.372802734375
632.optdone,-352.3699035644531
905.optdone,-352.352294921875
26.optdone,-352.35198974609375
1173.optdone,-352.3433532714844
1435.optdone,-352.34112548828125
1016.optdone,-352.3338623046875
1389.optdone,-352.3338317871094
545.optdone,-352.33319091796875
561.optdone,-352.3277893066406
187.optdone,-352.32379150390625
412.optdone,-352.3235778808594
484.optdone,-352.3192443847656
1385.optdone,-352.3154602050781
12.optdone,-352.30194091796875
679.optdone,-352.29852294921875
1449.optdone,-352.29840087890625
719.optdone,-352.28656005859375
1218.optdone,-352.2811279296875
1097.optdone,-352.27911376953125
720.optdone,-352.272216796875
485.optdone,-352.26776123046875
754.optdone,-352.2464599609375
965.optdone,-352.2369689941406
382.optdone,-352.2043151855469
441.optdone,-352.2038879394531
146.optdone,-352.1787414550781
585.optdone,-352.1688537597656
174.optdone,-352.1551513671875
979.optdone,-352.1502380371094
1340.optdone,-352.1448974609375
